GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-4747.8132,-43405.1063,-8691.9589,214.75767168,-48152.919499999996,-8477.20122832,-56630.12072831999
1,-4765.5855,-43471.8746,-8660.3593,217.32464232,-48237.460100000004,-8443.03465768,-56680.494757680004
2,-4693.0259,-43554.6503,-8713.1058,223.21234728,-48247.6762,-8489.89345272,-56737.56965272
3,-4689.8384,-43583.5156,-8639.4943,218.18129543999999,-48273.354,-8421.313004560001,-56694.66700456
4,-4722.6176,-43516.2205,-8697.214,218.2670388,-48238.8381,-8478.9469612,-56717.785061200004
5,-4768.0305,-43393.0824,-8720.4819,216.34665984,-48161.1129,-8504.135240160002,-56665.24814016
6,-4727.7629,-43164.8084,-8969.6638,221.08758336,-47892.5713,-8748.57621664,-56641.147516640005
7,-4638.4374,-43289.0389,-9029.6502,221.89781448,-47927.4763,-8807.75238552,-56735.22868552
8,-4697.9588,-43330.5683,-8807.7031,217.21658184,-48028.5271,-8590.48651816,-56619.013618159996
9,-4715.5254,-43334.0185,-8820.2004,217.98421272,-48049.5439,-8602.216187279999,-56651.760087279996
10,-4696.4601,-43392.2818,-8812.5837,220.9218624,-48088.74189999999,-8591.661837599999,-56680.4037376
11,-4683.3451,-43381.6522,-8769.6061,220.17202776,-48064.997299999995,-8549.434072240001,-56614.43137223999
12,-4740.8705,-43318.8726,-8779.4926,220.20868584000002,-48059.7431,-8559.28391416,-56619.02701416
13,-4712.7448,-43454.1456,-8785.6249,219.85995024000002,-48166.890400000004,-8565.764949760001,-56732.65534976
14,-4702.4426,-43649.1504,-8527.7982,221.2853328,-48351.593,-8306.5128672,-56658.1058672
15,-4709.5906,-43668.4384,-8507.9821,216.85835232,-48378.029,-8291.12374768,-56669.152747680004
16,-4693.5657,-43469.7088,-8761.1855,222.83318448,-48163.2745,-8538.35231552,-56701.62681552
17,-4704.2556,-43400.1042,-8756.9965,217.8210096,-48104.359800000006,-8539.175490399999,-56643.53529040001
18,-4749.0315,-43295.5846,-8880.5644,218.83053528,-48044.6161,-8661.73386472,-56706.34996472
19,-4712.1602,-43278.2454,-8928.9868,218.86994807999997,-47990.4056,-8710.11685192,-56700.52245192
20,-4657.0388,-43398.3625,-8799.537,222.38243928,-48055.401300000005,-8577.15456072,-56632.55586072001
21,-4757.8411,-43345.2506,-8803.5051,215.77346856,-48103.0917,-8587.73163144,-56690.82333144
22,-4676.4866,-43514.2576,-8636.1992,219.06493416,-48190.7442,-8417.134265839999,-56607.87846584
23,-4703.5265,-43186.9521,-8895.826,220.7057004,-47890.4786,-8675.1202996,-56565.5988996
24,-4725.2964,-43377.3883,-8796.8323,221.85933984,-48102.6847,-8574.97296016,-56677.65766016
25,-4682.5345,-43447.0637,-8692.0765,220.7414988,-48129.5982,-8471.3350012,-56600.9332012
26,-4663.1413,-43667.4686,-8569.6324,221.63569488000002,-48330.6099,-8347.99670512,-56678.60660512
27,-4683.6527,-43500.2944,-8829.2775,219.7655136,-48183.9471,-8609.5119864,-56793.4590864
28,-4634.6065,-43707.1446,-8581.9994,221.82159672,-48341.7511,-8360.177803280001,-56701.92890328
29,-4684.2776,-43828.4212,-8431.4914,216.65318184,-48512.6988,-8214.83821816,-56727.537018159994
30,-4726.6724,-43435.2526,-8744.2343,217.38407976,-48161.925,-8526.85022024,-56688.77522024
31,-4701.9674,-43401.2791,-8786.5325,226.23016536,-48103.2465,-8560.302334639999,-56663.54883464
32,-4673.575,-43587.2229,-8667.0149,223.75228176,-48260.7979,-8443.26261824,-56704.06051824
33,-4697.3767,-43287.9212,-8942.7362,230.12376408,-47985.2979,-8712.61243592,-56697.910335919994
34,-4664.2672,-43273.2311,-9041.1952,227.21901119999998,-47937.4983,-8813.9761888,-56751.4744888
35,-4662.5294,-43411.9104,-8846.5596,229.56164136,-48074.4398,-8616.99795864,-56691.43775864
36,-4716.9566,-43568.8902,-8685.1656,220.03098048,-48285.8468,-8465.13461952,-56750.98141952
37,-4661.3058,-43612.4249,-8663.5068,224.87493024,-48273.7307,-8438.63186976,-56712.36256976
38,-4678.477,-43708.8157,-8627.6217,221.98873464,-48387.2927,-8405.63296536,-56792.925665359995
39,-4680.6507,-43577.3389,-8603.9858,221.45465808,-48257.9896,-8382.53114192,-56640.52074192
40,-4718.9798,-43570.9491,-8601.8194,224.33654304,-48289.9289,-8377.48285696,-56667.41175696
41,-4737.2177,-43262.3135,-8828.9912,220.14139104,-47999.5312,-8608.84980896,-56608.38100896
42,-4764.6469,-43245.5124,-8896.8964,223.00400159999998,-48010.1593,-8673.8923984,-56684.0516984
43,-4663.0641,-43350.4148,-8844.6483,224.42284368,-48013.4789,-8620.22545632,-56633.704356320006
44,-4675.5883,-43424.973,-8867.9096,219.63386663999998,-48100.5613,-8648.27573336,-56748.83703336
45,-4763.9672,-43169.8148,-9020.9639,217.11360168,-47933.782,-8803.850298320001,-56737.63229832
46,-4684.0943,-43410.6445,-8828.4283,221.59521576,-48094.7388,-8606.83308424,-56701.57188424
47,-4777.9396,-43104.317,-9085.6357,220.77864576,-47882.2566,-8864.857054240001,-56747.11365424
48,-4714.1151,-43587.4058,-8699.8316,221.33130984,-48301.5209,-8478.50029016,-56780.02119016
