frame,time_ps,dO56_R346,dO56_R483,dO57_R346,dO57_R483,anchor_min,tail_hsa_min,cls,dO38_R408,pep_ecd_min,com_hsa_ecd,lnk_e2e,lnk_rg
0,0.000,6.249,3.050,4.603,3.075,3.050,3.050,FA3,7.862,2.716,46.255,24.940,9.300
1,100.000,8.086,3.413,7.455,4.235,3.413,2.998,FA3,7.438,2.765,46.306,25.159,9.234
2,200.000,7.065,3.637,6.723,5.043,3.637,3.263,FA3,10.143,3.085,46.141,25.202,9.501
3,300.000,4.583,3.854,5.907,3.638,3.638,3.516,FA3,13.128,2.648,46.884,25.549,9.687
4,400.000,7.121,3.869,5.426,3.186,3.186,3.113,FA3,13.258,2.638,46.977,23.937,9.454
5,500.000,7.746,3.482,6.188,3.058,3.058,3.058,FA3,13.234,2.789,46.502,23.301,9.229
6,600.000,7.388,3.342,6.492,3.485,3.342,3.178,FA3,13.263,2.767,46.584,22.304,9.087
7,700.000,7.597,4.232,6.227,3.384,3.384,3.232,FA3,11.589,2.613,46.168,22.507,9.107
8,800.000,7.458,2.982,6.249,3.914,2.982,2.982,FA3,12.356,2.792,46.995,21.948,8.841
9,900.000,8.431,4.042,6.590,3.696,3.696,3.460,FA3,12.449,2.697,47.475,21.740,8.843
10,1000.000,5.963,2.995,5.842,4.874,2.995,2.995,FA3,11.280,2.780,48.064,21.863,8.951
11,1100.000,10.804,3.998,9.237,3.147,3.147,3.012,FA3,12.055,2.814,47.732,21.189,8.526
12,1200.000,10.327,3.438,8.656,3.027,3.027,3.027,FA3,10.924,2.755,47.816,22.062,8.562
13,1300.000,11.478,4.332,9.408,3.134,3.134,3.134,FA3,13.173,2.841,47.151,21.365,8.548
14,1400.000,9.708,3.559,8.108,3.160,3.160,3.128,FA3,13.551,2.653,47.470,21.994,8.686
15,1500.000,9.478,3.658,9.350,4.613,3.658,3.095,FA3,13.896,2.794,47.926,22.009,8.738
16,1600.000,9.351,3.730,8.501,4.109,3.730,3.351,FA3,12.767,2.746,48.399,21.205,8.536
17,1700.000,10.267,3.763,9.248,3.812,3.763,2.895,FA3,12.740,2.696,48.166,20.642,8.487
