frame,time_ps,dO56_R346,dO56_R483,dO57_R346,dO57_R483,anchor_min,tail_hsa_min,cls,dO38_R408,pep_ecd_min,com_hsa_ecd,lnk_e2e,lnk_rg
0,0.000,5.362,2.783,3.645,2.892,2.783,2.783,FA3,6.558,2.604,46.266,27.141,9.844
1,100.000,5.734,3.119,4.224,3.307,3.119,3.119,FA3,8.737,2.631,47.441,26.142,9.583
2,200.000,6.961,3.972,5.961,3.207,3.207,3.207,FA3,9.728,2.964,47.418,24.316,9.071
3,300.000,6.969,3.480,6.238,3.199,3.199,3.199,FA3,11.779,2.690,46.841,24.591,9.238
4,400.000,8.196,4.661,6.752,3.865,3.865,3.110,FA3,12.414,2.724,47.471,26.016,9.492
5,500.000,8.443,4.803,7.128,3.440,3.440,3.166,FA3,12.571,2.617,47.786,24.518,9.254
6,600.000,7.933,5.574,6.433,4.272,4.272,3.304,surface,12.213,2.594,47.870,24.657,9.276
7,700.000,5.872,4.465,5.193,4.231,4.231,3.107,surface,14.716,2.794,46.613,23.756,9.348
8,800.000,7.398,5.940,6.249,5.198,5.198,3.404,surface,15.086,2.675,47.087,24.719,9.138
9,900.000,6.211,4.710,5.844,4.802,4.710,3.353,surface,15.728,2.468,47.042,24.355,9.327
10,1000.000,6.420,4.332,5.934,4.194,4.194,3.361,surface,15.752,2.665,46.737,24.367,9.386
11,1100.000,6.476,4.131,5.984,4.063,4.063,3.337,surface,14.899,2.739,46.733,24.002,9.145
12,1200.000,8.309,5.774,7.338,4.846,4.846,3.334,surface,12.156,2.644,47.806,24.750,9.244
13,1300.000,7.559,5.075,6.642,3.883,3.883,3.351,FA3,14.503,2.664,47.484,23.890,9.342
14,1400.000,6.044,4.473,5.903,4.527,4.473,3.099,surface,14.051,2.942,47.098,22.523,9.024
15,1500.000,7.735,5.885,5.902,4.600,4.600,3.044,surface,14.116,2.740,47.904,24.252,8.988
16,1600.000,6.342,5.591,8.108,7.614,5.591,3.439,surface,15.311,2.778,47.279,24.230,9.086
17,1700.000,7.268,6.315,6.313,5.561,5.561,3.362,surface,15.228,2.802,47.297,24.576,9.273
18,1800.000,6.727,5.340,5.959,5.295,5.295,3.308,surface,15.153,2.714,46.656,23.471,9.072
19,1900.000,7.019,4.998,6.388,4.542,4.542,3.268,surface,13.452,2.814,47.434,23.352,8.865
20,2000.000,8.195,4.569,7.832,4.802,4.569,3.164,surface,12.970,2.756,47.355,22.971,8.624
21,2100.000,12.873,6.562,10.767,4.847,4.847,3.212,surface,14.283,2.819,47.974,23.714,8.808
22,2200.000,13.752,6.303,11.838,4.540,4.540,3.174,surface,14.580,2.868,48.313,22.980,8.809
23,2300.000,10.249,4.709,10.091,4.871,4.709,3.299,surface,14.006,2.735,48.153,23.187,8.828
24,2400.000,10.124,4.735,9.460,4.102,4.102,3.386,surface,15.178,2.795,47.740,23.022,8.807
25,2500.000,11.018,3.978,10.319,4.525,3.978,3.234,FA3,14.691,2.661,46.986,21.785,8.488
26,2600.000,11.201,4.897,11.161,5.807,4.897,3.051,surface,15.710,2.621,48.290,23.227,8.875
27,2700.000,9.827,3.983,9.900,4.762,3.983,3.046,FA3,13.207,2.721,47.938,22.291,8.712
28,2800.000,11.398,4.194,11.157,4.867,4.194,3.133,surface,13.507,2.611,47.351,23.335,8.821
29,2900.000,13.473,6.949,11.456,4.982,4.982,3.255,surface,14.121,2.727,48.279,23.932,8.999
