GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-972.0125,-7643.2709,-2791.92,62.06788152,-8615.2834,-2729.85211848,-11345.13551848
1,-981.9633,-7667.131,-2744.5905,62.31546143999999,-8649.0943,-2682.2750385599998,-11331.369338560002
2,-976.5651,-7663.709,-2755.8101,63.72355896,-8640.2741,-2692.08654104,-11332.36064104
3,-993.8111,-7689.6046,-2746.4632,62.22494519999999,-8683.4157,-2684.2382548,-11367.6539548
4,-975.8964,-7723.311,-2664.064,61.56417816,-8699.2074,-2602.4998218399996,-11301.707221839999
5,-971.102,-7749.2716,-2622.6653,64.42015968,-8720.3736,-2558.2451403200002,-11278.618740320002
6,-967.5592,-7763.1477,-2630.8793,61.66260936,-8730.706900000001,-2569.2166906400003,-11299.92359064
7,-987.1117,-7732.0093,-2684.1088,63.243969119999996,-8719.121,-2620.8648308799998,-11339.98583088
8,-954.0293,-7702.7389,-2694.3394,64.68149016,-8656.7682,-2629.65790984,-11286.42610984
9,-957.8199,-7634.8833,-2668.0569,64.49402303999999,-8592.7032,-2603.5628769600003,-11196.266076959999
10,-953.0207,-7789.2831,-2599.4039,64.28253816,-8742.3038,-2535.1213618399997,-11277.42516184
11,-933.3817,-7798.8058,-2598.5739,64.073628,-8732.1875,-2534.5002719999998,-11266.687772
12,-938.5314,-7820.0128,-2622.1467,62.98749072,-8758.5442,-2559.1592092799997,-11317.70340928
13,-950.0722,-7776.2885,-2678.1666,64.00938672,-8726.3607,-2614.15721328,-11340.51791328
14,-958.607,-7723.0784,-2688.7588,64.54486512,-8681.6854,-2624.21393488,-11305.89933488
15,-961.6059,-7807.1012,-2609.918,63.15706872,-8768.7071,-2546.76093128,-11315.46803128
16,-931.5787,-7846.4392,-2611.9574,64.16815607999999,-8778.017899999999,-2547.78924392,-11325.807143919998
17,-950.4615,-7791.3425,-2654.5164,62.68373064000001,-8741.804,-2591.83266936,-11333.636669360001
18,-935.3639,-7543.6881,-2844.3615,68.32123272,-8479.052,-2776.04026728,-11255.092267279999
19,-966.0246,-7649.4319,-2775.5282,64.3856004,-8615.4565,-2711.1425996000003,-11326.5990996
20,-938.9366,-7737.3595,-2677.5607,63.70272216,-8676.2961,-2613.85797784,-11290.15407784
21,-954.6122,-7806.4442,-2625.1605,64.01421864,-8761.0564,-2561.14628136,-11322.202681359999
22,-947.9062,-7739.4806,-2692.3177,65.79966024000001,-8687.3868,-2626.51803976,-11313.90483976
23,-952.6166,-7718.5017,-2668.8093,63.8319852,-8671.1183,-2604.9773148,-11276.095614799999
24,-945.0152,-7810.865,-2634.0165,65.1313944,-8755.8802,-2568.8851056000003,-11324.7653056
25,-979.5419,-7887.8925,-2603.1127,62.21769552000001,-8867.4344,-2540.8950044800004,-11408.32940448
26,-944.379,-7706.637,-2710.0109,66.16719432,-8651.016,-2643.8437056800003,-11294.85970568
27,-945.389,-7904.3242,-2550.3887,63.0233496,-8849.7132,-2487.3653504,-11337.0785504
28,-964.0721,-7723.6075,-2644.4348,62.77818312,-8687.6796,-2581.65661688,-11269.336216879998
29,-948.9499,-7850.1508,-2552.9758,62.41989744000001,-8799.1007,-2490.55590256,-11289.65660256
30,-969.8824,-7825.4325,-2603.7367,61.59953088,-8795.3149,-2542.1371691199997,-11337.45206912
31,-932.8539,-7731.4533,-2696.1853,65.64486527999999,-8664.3072,-2630.54043472,-11294.84763472
32,-936.3153,-7611.3459,-2756.8844,65.64478248,-8547.6612,-2691.23961752,-11238.900817520002
33,-959.6392,-7689.948,-2662.5709,63.224035199999996,-8649.5872,-2599.3468648000003,-11248.9340648
34,-952.0928,-7733.8845,-2650.2359,62.95695696,-8685.9773,-2587.2789430400003,-11273.25624304
35,-938.3109,-7588.2219,-2837.0183,66.38970456,-8526.532799999999,-2770.62859544,-11297.161395439998
