time_ns,ecd,peptide,linker,hsa
0.0,1.4113091074894659e-06,2.5615141292249362e-06,1.937497044770429e-06,0.0
0.04997986914947156,2.2520990383634154,2.6307359071331646,42.97466311819497,1.2018986686013349
0.09995973829894313,2.0308424782539087,3.5556397016568817,6.004173662909781,1.2983507413903597
0.1499396074484147,2.9695922593555184,5.160751456989802,7.162834290021603,1.5443744466764875
0.19991947659788625,3.8282146481843533,5.940512597211057,7.373617579592237,1.8565622732098692
0.24989934574735784,4.00737014098532,5.7726294676455,6.7343709855308145,1.916562477593431
0.2998792148968294,3.873021334140007,5.4923042566857685,8.560060223802793,1.8265394431765336
0.349859084046301,3.518755303198046,6.094576743939668,6.951961828395244,1.9367609282933722
0.3998389531957725,2.7695337972788256,4.848861373699873,5.277121463518571,1.731985580736633
0.44981882234524406,3.260844229267611,5.399936084681929,8.177553530471645,2.3758502839073965
0.4997986914947157,3.5498570049018383,5.966750218043138,9.580968713941546,2.4744839232481546
0.5497785606441873,3.5373182536479746,6.0633937695983775,8.379832007072356,2.401154811604925
0.5997584297936588,5.288049686592757,7.824429885704868,7.322292536920547,2.2423898551352766
0.6497382989431303,4.198624533570612,7.373916676701526,6.781024112916391,2.4604493940099226
0.699718168092602,4.770840571128656,8.158929259210899,20.541913865669304,2.586101781434104
0.7496980372420735,4.906972088647486,7.785087083410405,19.080407919342,2.6065490665568234
0.799677906391545,5.101686040101007,8.160889162702732,20.13905156609635,2.670982265314999
0.8496577755410166,5.371439486350019,8.738535949810315,20.289896220367844,2.571294625472792
0.8996376446904881,5.590479978182661,8.66818754067924,17.24959881334129,2.321285667689807
0.9496175138399597,4.259113181826978,6.435752224656309,18.31874382400653,2.3606812066413823
0.9995973829894313,4.082119613963371,7.146146752164234,18.560035491651167,2.1618517707208396
1.049577252138903,4.2874836859820595,6.5510652596868795,19.168002081333487,2.1518940374934057
1.0995571212883746,3.851411017911306,5.644108830987284,18.28874913529925,2.5308765076054565
1.149536990437846,3.457639003218176,4.7301033242108925,18.93652174298916,2.743863625736733
1.1995168595873176,3.6275918609146385,4.797881751080067,18.886333478568474,2.619789789877515
1.249496728736789,3.7305595538228413,4.1537315719737675,18.403409212088537,2.751052032492585
1.2994765978862606,3.5377712886229387,3.7150592960163853,18.490108987158983,2.676153640386722
