time_ns,ecd_hsa,pep_hsa,lnk_hsa,ecd_pep,pep_lnk
0.0,79.2020460172492,100.84997387662642,88.47209276021503,22.93435762360787,16.07123912966659
0.04997986914947156,81.19463135809515,102.47349830599326,78.95499422681897,22.269467266,23.755779950158715
0.09995973829894313,80.75817294042288,102.83466411569766,88.9253370225745,22.930724210216958,17.66647427803032
0.1499396074484147,81.94802796370105,104.69303554174961,91.12631958718126,23.63208683612881,16.629883018068355
0.19991947659788625,82.53516400811023,104.45988723969674,91.06651837023243,22.67949491051858,16.79183318579306
0.24989934574735784,81.57955183956356,102.81198608886902,89.50758447539245,22.51659667354539,15.793131739800565
0.2998792148968294,81.74665986559847,102.98772933763964,88.99890260454232,22.21776938011232,16.194029242149988
0.349859084046301,82.37244398919856,103.92192859845638,91.94781874525549,22.566892901388304,14.826975853576178
0.3998389531957725,81.62774125256573,102.94456397526656,91.02442877732344,22.26862396787554,14.782612982081822
0.44981882234524406,81.6339097985739,102.38641701240566,89.55184455040282,21.854308649085866,14.601973312407495
0.4997986914947157,82.02880892560417,103.01215620317673,91.08342617909105,22.19552283309026,13.571164484671115
0.5497785606441873,80.70766756599434,101.7870499101499,89.37292141952143,22.277553237778456,14.145203800329915
0.5997584297936588,80.55260809316411,100.95068547971799,89.8170957414811,22.228511271354492,13.397381574498443
0.6497382989431303,79.47227821852323,100.09566432910547,89.30058024471376,21.976051448061842,13.604280494166725
0.699718168092602,79.61963889968253,99.98783113819138,90.8215395406993,22.019608144532164,10.943157858639358
0.7496980372420735,79.87901334629285,100.36178886331466,90.7770645892049,21.966046183322014,11.534607684624472
0.799677906391545,80.94524469541238,101.96636234771202,92.19106394286099,22.291071979597316,11.291735313844738
0.8496577755410166,80.69493274750111,101.61093624721832,90.90073969794774,22.03154738763665,12.422588516324238
0.8996376446904881,80.21689741319425,100.67895451181742,90.69897422368066,21.774147171761033,12.307013508146268
0.9496175138399597,79.4999311691853,100.94161557709289,90.95942071087687,22.064565029161777,12.419028086531448
0.9995973829894313,80.6836582342689,102.34725455550496,91.9690523424871,22.328612381978562,13.423069323131502
1.049577252138903,81.3921722784088,102.91983916506489,91.92387109755184,22.310709097093778,12.751698722924074
