time_ns,pep_n_term_to_rec,pep_c_term_to_rec,pep_com_to_rec_com
0.0,52.27758529456343,70.96168119176797,56.16614562272094
0.17271157167530224,51.66098377089683,70.13504855395465,56.399863957333295
0.3454231433506045,51.68894494150501,71.61274772778972,56.42410412478006
0.5181347150259067,51.029977205945066,71.35021671341558,56.81837474504237
0.690846286701209,51.054264141796686,72.53587179677807,56.42482706589206
0.8635578583765112,50.95701084313134,71.13991179064769,56.31233217146627
1.0362694300518134,50.90348904754294,71.5130386937751,56.32279242334647
1.2089810017271156,51.43750552082671,72.86169053701835,56.4454215151282
1.381692573402418,50.98803607077837,72.77792996474302,56.43998074890408
1.5544041450777202,51.609277214620406,73.22529818950171,56.52838678103162
1.7271157167530224,51.49783156006088,71.32845228900248,56.39408855242308
1.8998272884283247,52.12714589934368,71.96359853668264,56.64209373250342
2.0725388601036268,51.48069244688683,71.54351434050201,56.41559996638744
2.245250431778929,51.052126981791595,70.47830270926681,56.49550027343991
2.4179620034542313,51.25681241451935,71.60347249516333,56.51072783725752
2.5906735751295336,50.84177920584444,71.43691975258841,56.17905163910411
2.763385146804836,51.418477406617264,70.08865497247396,56.39979043931971
2.936096718480138,50.793999913715595,71.71667900546147,56.81742196603623
3.1088082901554404,51.708553603134646,69.76202859886439,56.736079390152206
3.2815198618307426,51.18777402425641,70.33228223692781,56.68286712099828
3.454231433506045,50.76123689291086,69.63720922320708,56.548612118342895
3.626943005181347,51.03113025700591,70.50976515438938,56.853739076141856
3.7996545768566494,51.07697836986748,69.95398226636917,56.78170923596327
3.9723661485319517,50.33893785999111,69.72939275597031,56.34547219582583
4.1450777202072535,51.2876309668929,69.06661605165229,56.49323014334508
4.317789291882556,51.05906559951827,69.17649031430219,56.222794110802994
4.490500863557858,50.441005385788145,70.2564279346764,56.26016324398593
4.66321243523316,50.75617587271949,70.77307045139509,56.542335504541484
4.835924006908463,51.33264646925339,69.64350677234742,56.28527580294248
5.008635578583765,51.19138438837326,70.19834764065047,56.45347761046133
5.181347150259067,51.19998246099543,72.28743199419988,56.75074634610356
5.354058721934369,49.713126280236146,69.23610469618512,56.390625987854406
5.526770293609672,51.35412302939923,69.78820424807745,56.44781535910127
5.699481865284974,49.961154015311756,70.06584204190598,56.21426776983106
5.872193436960276,49.813840032952996,68.01827698474477,56.39959829517243
6.0449050086355784,50.666199475517935,70.95214469692488,56.11125052402591
6.217616580310881,50.322295183641415,70.20284826288714,56.28920053513407
6.390328151986183,50.70046074632911,69.03216968472644,56.033432860923604
6.563039723661485,50.25469372304362,69.43599715674272,56.050310820151154
6.7357512953367875,49.67414423616226,69.0357524170304,55.98805564910404
6.90846286701209,49.61153104474367,69.32912027959175,56.03906401784634
7.081174438687392,50.234765976404105,67.55304025561347,55.88230807050454
7.253886010362694,49.845030165848556,67.3036428730379,56.08993890623858
7.426597582037997,48.76138053126209,67.656188387187,55.999100903636624
7.599309153713299,49.78838142426801,66.9755482629574,55.76681649953298
7.772020725388601,49.60005746080356,69.44559411537311,55.46374235885557
7.944732297063903,49.5493381329583,66.66406252128884,55.435078018901564
8.117443868739205,49.354929743947565,67.51280410458675,55.38772877823382
8.290155440414507,48.951225001966165,69.03325007114499,55.37962379637007
8.46286701208981,49.71943107423175,67.55338188519659,55.34538904816982
8.635578583765112,50.25888620384961,68.61790495489142,55.20519476915705
8.808290155440414,49.32126099612265,68.24331126769532,55.012342296593765
8.981001727115716,49.91326346630602,66.51171432466299,54.85801138777813
9.153713298791018,49.26871197440848,66.34698344351443,54.76903883757893
9.32642487046632,50.18798021442499,67.0835109669163,55.18630766810686
9.499136442141623,49.37659496588491,66.23834555549136,55.41443034345963
9.671848013816925,49.29935541598377,65.30002216628804,55.32032155826059
9.844559585492227,50.11084518813089,68.04473139773172,55.11130708689007
10.01727115716753,50.23836677900704,66.95863856693055,55.3787425571526
10.189982728842832,49.660343159248654,69.61024481811205,55.34079773959166
10.362694300518134,49.59378169408571,67.40837455936615,55.38978462962758
10.535405872193436,50.626508280501206,66.74686492749153,55.41580934475396
10.708117443868739,50.29239244746969,67.9021718537027,55.40952595039388
10.880829015544041,49.776552275939224,69.48709545661427,55.002537546528174
11.053540587219343,49.48182014212422,69.6267288282915,55.112394703803936
11.226252158894646,50.570648892250624,68.6587028877703,55.10118755837334
11.398963730569948,50.95923870800386,69.13595069563524,55.72209393144136
11.57167530224525,50.900770047802126,68.97320791621844,55.332289464320915
11.744386873920552,49.86360219636595,68.31876768348594,55.388993893268996
11.917098445595855,49.98308477030742,69.08851110104177,55.40514262019274
12.089810017271157,49.88981531127501,66.26156984953855,55.311635598961466
12.26252158894646,49.177901843825104,68.3463223402653,55.432063505574924
12.435233160621761,49.80257791811308,67.2826404592618,55.53946252903107
12.607944732297064,49.4102522638382,70.64823776169477,55.55699317167982
12.780656303972366,49.64271873438151,70.33812253129088,55.5940113816522
12.953367875647668,50.354783125733704,69.66301538214958,55.11858723407601
13.12607944732297,50.86192431287886,71.04091753134324,55.36046314669187
13.298791018998273,51.25187782692241,69.41032391799847,55.002814435373466
13.471502590673575,50.74252712941534,67.8350654089515,54.80829974602138
13.644214162348877,50.92631473509699,69.23671654053355,55.03122845730959
13.81692573402418,51.04169796404524,70.11658516289918,54.69427589816375
13.989637305699482,49.7917158639491,68.98360868373324,54.84960407544696
14.162348877374784,50.7936377666398,67.95002504506938,54.63177774629695
14.335060449050086,51.07081271992013,69.59130294092245,54.48301258680704
14.507772020725389,50.96271031175681,69.52827505393934,54.633703644763685
14.680483592400691,51.19897393451822,68.99249069158988,54.45151672792243
14.853195164075993,50.75074566840964,70.53765151776838,54.60084769373937
15.025906735751295,51.31981117102271,72.1427090596073,54.64303717099808
15.198618307426598,51.19865337366434,71.92672988258721,54.659330466324484
15.3713298791019,51.14039315219843,71.1494842675295,55.051775917954046
15.544041450777202,50.274124227482304,70.42694107650269,54.67399974121709
