frame,time_ns,total_protein,receptor,peptide
0,0.0,2.305392528458593e-06,1.71134080228285e-06,1.8703092111414341e-07
10,0.17271157167530224,1.180447878373279,1.1822229358169394,0.9751375317863681
20,0.3454231433506045,1.4041875765247998,1.4120232546802851,0.6892637205613809
30,0.5181347150259067,1.4216817897724738,1.4185205462176746,0.8925023011005482
40,0.690846286701209,1.558919108862807,1.5595592436030654,1.1324244473580702
50,0.8635578583765112,1.7038496967562533,1.7124585491186888,0.8806246851523031
60,1.0362694300518134,1.8714890123485217,1.8735057145626006,1.0446026308840723
70,1.2089810017271156,1.7650750536897373,1.7744882231501349,0.9231043909058839
80,1.381692573402418,1.705511710290444,1.7126726332009465,0.8233505903763637
90,1.5544041450777202,1.769116950314606,1.7789833666298955,0.8927563290439617
100,1.7271157167530224,1.92410297191344,1.9358678713396427,0.9294846494155142
110,1.8998272884283247,1.790281599961041,1.8015582198346398,0.8223180963106996
120,2.0725388601036268,1.8207661170344542,1.8305410275587974,0.7606969144556479
130,2.245250431778929,1.853618870312733,1.8559108511637405,0.8692653560124256
140,2.4179620034542313,1.8198289598415598,1.8305069919852393,0.8004895325188266
150,2.5906735751295336,2.0288232066354133,2.035512450906902,1.0500325007549594
160,2.763385146804836,2.0991351102308156,2.1168114002437943,0.8585902027654706
170,2.936096718480138,2.073054566220309,2.088267041441488,1.1225900918732281
180,3.1088082901554404,2.0428756335857456,2.0566173192849795,0.9473924145050538
190,3.2815198618307426,2.074899532184904,2.083284882884381,1.1316381643842546
200,3.454231433506045,2.224275161265889,2.231655176330575,1.0038484889855492
210,3.626943005181347,2.245163990676257,2.252853874126611,0.8973180390273124
220,3.7996545768566494,2.381540485458886,2.395087530789886,1.0677572511307967
230,3.9723661485319517,2.3099262186356575,2.3194799510059605,1.0224568879859435
240,4.1450777202072535,2.367603130078596,2.3763696202055797,1.2147360745702198
250,4.317789291882556,2.2663160754873806,2.2720651715733506,1.0228302266248483
260,4.490500863557858,2.2191051930609906,2.230062053782115,1.0103601846326882
270,4.66321243523316,2.2475928147379696,2.26159905264075,1.1172918673675907
280,4.835924006908463,2.246700392811474,2.26245396140143,1.0438494632080768
290,5.008635578583765,2.4391260143842106,2.455918531329335,1.0969918824895206
300,5.181347150259067,2.552852570028995,2.573100265352142,0.9233994322767807
310,5.354058721934369,2.43925073696498,2.4504306234924087,1.057640543017233
320,5.526770293609672,2.4387453004786392,2.45305171220863,1.2668390406395702
330,5.699481865284974,2.603650420111144,2.6178290774120723,1.2607306155027291
340,5.872193436960276,2.6103007195697083,2.6183635739234044,1.5545705133387921
350,6.0449050086355784,2.806934440454177,2.8307999572953735,1.0931653416189984
360,6.217616580310881,2.789314372059295,2.801217265229019,1.3849908689395318
370,6.390328151986183,2.4982918477660747,2.506850260186075,1.4344168211694912
