Time_ns,PC1,PC2
0.010000000029814058,35.284542,67.234116
0.11000000032795462,36.304253,66.51844
0.2100000006260952,39.947052,76.86704
0.3100000009242358,38.68708,74.663574
0.41000000122237634,42.084774,81.15981
0.5100000015205169,47.808834,83.30323
0.6100000018186574,46.84611,76.37573
0.7100000021167981,40.62741,80.8715
0.8100000024149386,43.797543,83.92484
0.9100000027130792,42.38932,76.77245
1.0100000030112197,46.567238,74.75048
1.1100000033093604,45.004246,80.63493
1.210000003607501,42.01739,78.700424
1.3100000039056414,41.44348,86.33078
1.4100000042037821,45.18587,78.90695
1.5100000045019226,44.07668,83.21186
1.6100000048000631,40.242302,83.719
1.7100000050982036,43.968925,89.213486
1.8100000053963443,44.428253,94.14976
1.9100000056944848,50.51077,86.59616
2.0100000059926253,54.96298,82.11943
2.110000006290766,52.922783,82.26698
2.2100000065889067,49.333664,80.73573
2.3100000068870474,46.557007,82.293434
2.4100000071851877,44.100586,77.74673
2.5100000074833284,42.927624,83.25508
2.6100000077814687,46.44459,82.085945
2.7100000080796094,46.49033,79.28577
2.81000000837775,48.422134,78.65923
2.9100000086758904,42.82828,78.17779
3.010000008974031,47.532986,74.57231
3.110000009272172,49.332893,76.27615
3.210000009570312,55.723297,75.71805
3.3100000098684528,52.784016,80.309654
3.410000010166593,49.057957,84.717606
3.5100000104647338,45.636417,83.597336
3.6100000107628745,46.578762,74.40215
3.710000011061015,46.08766,80.62619
3.810000011359156,45.872944,77.38282
3.9100000116572966,46.8725,80.927055
4.010000011955437,42.279602,79.45035
4.110000012253577,52.04968,76.74074
4.210000012551718,52.598743,81.80868
4.310000012849859,42.062817,88.423874
4.410000013147999,51.34406,86.95711
4.51000001344614,45.546406,93.016396
4.610000013744281,47.82376,86.15093
4.7100000140424205,43.864365,83.84752
4.810000014340561,56.61876,89.84662
4.910000014638702,50.520767,90.974365
5.010000014936843,52.055492,85.63098
5.110000015234983,53.578125,85.92396
5.210000015533123,47.837143,88.9137
5.310000015831264,59.72753,89.935234
5.410000016129405,53.867012,85.75494
5.510000016427545,42.686363,90.352615
5.610000016725686,45.00669,84.499756
5.710000017023827,50.265778,78.19658
5.810000017321967,45.111874,81.0865
5.910000017620107,46.981464,82.7533
6.010000017918248,55.976128,82.01194
6.110000018216389,51.829155,94.07477
6.210000018514529,54.390797,80.03144
6.310000018812669,57.189445,88.91379
6.41000001911081,54.278904,88.55244
6.510000019408951,60.627377,81.73189
6.610000019707091,56.09782,81.86656
6.710000020005232,42.94294,85.879265
6.810000020303372,54.418255,80.544266
6.9100000206015135,54.140305,82.527336
7.010000020899654,54.96256,77.82624
7.110000021197795,58.00987,79.606575
7.210000021495936,57.68123,83.55142
7.310000021794076,55.509377,80.81528
7.410000022092216,64.705444,78.35025
7.510000022390357,58.340282,83.29836
7.610000022688498,54.080948,85.21752
7.710000022986638,60.915524,84.590294
7.810000023284779,59.181614,87.35278
7.910000023582919,51.88931,89.949844
8.01000002388106,57.717907,86.494064
8.1100000241792,62.354267,90.14362
8.21000002447734,66.66943,88.941536
8.310000024775482,68.29608,88.9401
8.410000025073622,69.95088,93.213425
8.510000025371763,64.24262,85.79543
8.610000025669903,70.20815,89.27583
8.710000025968045,70.988014,89.08175
8.810000026266183,69.83623,80.85815
8.910000026564324,67.03944,80.167465
9.010000026862466,69.36664,83.15048
9.110000027160606,69.796036,92.25311
9.210000027458747,66.76298,86.54947
9.310000027756887,63.86595,85.36783
9.410000028055029,68.81426,79.87973
9.510000028353168,58.236473,92.06184
9.61000002865131,62.425613,89.93295
9.71000002894945,64.57746,85.74023
9.810000029247592,54.756485,88.36317
9.91000002954573,59.089245,88.30454
10.010000029843871,63.478874,86.54959
10.110000030142011,58.57087,93.316055
10.210000030440153,52.571617,93.628845
10.310000030738292,59.245415,96.0511
10.410000031036434,58.93295,96.7899
10.510000031334574,55.281734,93.840355
10.610000031632715,48.11691,94.844376
10.710000031930855,52.717438,91.15154
10.810000032228997,53.069557,97.56745
10.910000032527135,47.4333,92.793594
11.010000032825277,46.742588,96.293884
11.110000033123416,51.04709,96.50073
11.210000033421558,54.441216,96.86134
11.310000033719698,55.961628,99.93925
11.41000003401784,60.480896,94.380646
11.51000003431598,70.207504,92.084175
11.61000003461412,65.71866,93.18039
11.71000003491226,59.760178,92.68559
11.810000035210402,59.705967,92.318695
11.910000035508542,62.341686,91.35955
12.010000035806682,53.617447,101.51229
12.110000036104822,68.46803,85.81174
12.210000036402963,57.233543,88.3458
12.310000036701103,58.162567,89.15416
12.410000036999245,53.82162,93.5565
12.510000037297385,56.45382,92.319016
12.610000037595526,62.231335,87.16908
12.710000037893666,54.3405,79.30492
12.810000038191808,56.39191,81.55548
12.910000038489947,58.191925,81.535645
13.010000038788089,53.762875,86.67726
13.110000039086227,58.566185,82.437546
13.210000039384369,54.58045,84.81549
13.31000003968251,68.391594,79.60556
13.41000003998065,65.05812,79.99081
13.510000040278792,63.71628,71.01623
13.610000040576931,63.10064,72.36248
13.710000040875073,71.47032,71.916794
13.810000041173213,65.52413,78.4825
13.910000041471354,66.26387,87.26049
14.010000041769494,61.519775,80.78179
14.110000042067636,65.80132,78.33361
14.210000042365774,67.28096,77.32962
14.310000042663916,64.7357,76.914566
14.410000042962055,59.722683,82.94366
14.510000043260197,51.391167,81.3838
14.610000043558337,56.130207,74.654526
14.710000043856478,57.047123,74.28511
14.810000044154618,64.47619,75.97243
14.91000004445276,64.53203,81.02694
15.0100000447509,59.745964,80.85807
15.110000045049041,61.07228,86.61317
15.210000045347181,62.892246,89.11067
15.310000045645321,65.52009,85.1671
15.41000004594346,56.974957,88.99402
15.510000046241602,56.37767,83.288734
15.610000046539742,63.180435,80.130035
15.710000046837884,61.295624,80.60222
15.810000047136024,68.99378,81.56843
15.910000047434165,72.630394,83.598785
16.010000047732305,75.064995,80.57596
16.110000048030447,70.53843,80.091644
16.210000048328585,66.61819,88.74411
16.310000048626726,69.14015,84.25509
16.410000048924868,66.81969,93.0378
16.510000049223006,64.83807,83.86864
16.61000004952115,57.583252,88.1286
16.71000004981929,65.17675,84.84984
16.81000005011743,75.9948,82.31279
16.91000005041557,79.8317,72.63039
17.01000005071371,71.15883,78.20647
17.110000051011852,71.96262,70.5842
17.21000005130999,73.92356,79.171135
17.31000005160813,76.48994,76.06682
17.410000051906273,69.68935,78.26549
17.510000052204415,70.39582,81.21585
17.610000052502553,73.50736,83.037575
17.710000052800698,73.27847,79.82739
17.810000053098836,77.490326,81.07739
17.910000053396978,74.75927,78.88374
18.010000053695116,69.09404,81.418304
18.110000053993257,71.56038,78.11264
18.2100000542914,71.32326,81.2074
18.310000054589537,71.87439,81.094025
18.41000005488768,73.07406,77.650826
18.51000005518582,77.901344,78.48614
18.61000005548396,75.28135,75.390526
18.7100000557821,76.5745,74.62025
18.81000005608024,83.282875,72.46568
18.910000056378383,89.04561,73.93509
19.010000056676525,85.9196,79.06319
19.110000056974663,81.7045,74.43777
19.2100000572728,81.15198,77.092674
19.310000057570946,87.77446,72.460175
19.410000057869084,92.238365,75.16915
19.510000058167225,91.75572,67.35411
19.610000058465364,87.0822,75.53667
19.71000005876351,91.63078,71.24582
19.810000059061647,94.65809,67.9984
19.91000005935979,98.28459,66.37073
20.010000059657926,100.86959,67.84441
20.11000005995607,97.59373,69.27224
20.21000006025421,106.10317,67.83033
20.310000060552348,97.51846,71.612724
20.41000006085049,102.30651,75.12906
20.51000006114863,102.694824,72.602516
20.610000061446772,98.81984,77.29158
20.71000006174491,106.98559,70.525734
20.810000062043052,101.35569,68.66273
20.910000062341194,98.52876,65.70695
21.010000062639335,101.84528,60.573727
21.110000062937473,102.02736,68.95014
21.210000063235615,99.20112,62.84306
21.310000063533757,94.739975,64.98394
21.410000063831895,99.06229,55.332336
21.510000064130036,96.96513,61.196453
21.610000064428174,101.10453,62.1615
21.71000006472632,96.399734,57.4191
21.810000065024457,87.7143,51.480988
21.9100000653226,87.15818,60.09442
22.01000006562074,89.01173,58.276253
22.110000065918882,93.81777,59.243237
22.21000006621702,91.25757,59.807423
22.310000066515162,99.083084,57.08904
22.410000066813303,103.81897,52.494034
22.51000006711144,95.25816,54.484215
22.610000067409583,93.422295,62.110504
22.71000006770772,99.82041,60.910233
22.810000068005866,104.3514,71.39478
22.910000068304004,103.413704,65.50114
23.010000068602146,108.84173,62.147087
23.110000068900284,110.63514,56.906776
23.21000006919843,103.21497,55.421272
23.310000069496567,101.656395,57.04159
23.41000006979471,99.5813,64.36935
23.510000070092847,101.30758,55.859665
23.61000007039099,104.55138,53.904396
23.71000007068913,103.08102,51.869446
23.810000070987268,100.01023,57.857025
23.91000007128541,92.86045,61.250484
24.01000007158355,98.22593,56.053658
24.110000071881693,100.01124,49.11092
24.21000007217983,98.54668,47.976376
24.310000072477973,96.46531,45.289135
24.410000072776114,101.600296,39.712196
24.510000073074256,100.39747,50.211227
24.610000073372394,103.43562,44.991627
24.710000073670532,103.86486,49.337326
24.810000073968677,102.68657,44.53528
24.910000074266815,102.71847,44.053978
25.010000074564957,107.74383,43.46435
25.110000074863095,109.59766,45.4352
25.21000007516124,112.20877,42.48749
25.310000075459378,112.46021,38.71971
25.41000007575752,109.36538,41.35939
25.510000076055658,108.263504,41.650948
25.610000076353803,106.46281,36.384445
25.71000007665194,106.83903,42.565758
25.81000007695008,110.12639,42.05146
25.91000007724822,110.1452,41.2814
26.010000077546362,110.88003,39.615063
26.110000077844504,107.04517,39.951622
26.21000007814264,106.27214,33.832184
26.310000078440787,107.05536,36.518528
26.410000078738925,108.99913,29.659866
26.510000079037066,112.558235,28.186646
26.610000079335205,108.918594,35.349453
26.71000007963335,104.034454,39.899323
26.810000079931488,102.09989,42.059258
26.910000080229626,105.28042,35.6749
27.010000080527767,110.08082,34.412056
27.11000008082591,106.99415,37.779606
27.21000008112405,100.461,37.029278
27.31000008142219,95.87932,32.24879
27.41000008172033,98.346016,26.753489
27.510000082018472,100.6172,25.86069
27.610000082316613,102.10586,31.42148
27.71000008261475,108.63231,29.63698
27.81000008291289,108.54749,27.538202
27.910000083211035,103.795815,37.032288
28.010000083509173,105.36287,35.047653
28.110000083807314,104.69028,36.52826
28.210000084105452,108.23169,24.438019
28.310000084403597,104.000946,27.193317
28.410000084701736,101.24253,31.361488
28.510000084999877,100.102196,29.41489
28.610000085298015,102.95088,33.06016
28.71000008559616,93.598946,39.02925
28.8100000858943,89.97946,34.28171
28.910000086192436,90.60812,37.2254
29.010000086490578,96.062546,31.024632
29.11000008678872,96.631,34.80019
29.21000008708686,95.61592,31.86998
29.310000087385,95.29243,37.075554
29.41000008768314,98.124146,31.862759
