Time_ns,LNK_COM_z_A,LNK_Head_z_A,LNK_Tail_z_A,Mem_Upper_z_A,Mem_Lower_z_A,Mem_COM_z_A,LNK_Tilt_deg,LysNZ_LNK_Dist_A,LNK_COM_rel_mem_A
0.010000000029814058,151.3192177180712,150.81012176037976,148.42616844177246,133.32918,89.3332,112.34059,83.5761384266121,12.404742993608972,38.97862628740714
0.11000000032795462,151.7767992419485,152.1855540347995,148.75678825378418,133.85199,89.52444,112.40376,81.19387709885886,13.91996273335641,39.3730364245657
0.2100000006260952,152.34694351978018,153.6698751167523,147.99918746948242,133.8539,89.5653,112.32169,75.96538852175223,14.42880292941673,40.02525009937003
0.3100000009242358,152.98634472199865,153.31525506828424,152.97381782531735,133.57037,89.65117,112.306305,89.0535231880967,13.48791626382167,40.68003979035802
0.41000000122237634,151.9458814255639,153.21041896036394,151.40301513671875,133.24326,89.96336,112.31538,85.18213212740467,13.100070384783534,39.630505143825616
0.5100000015205169,153.66040111310323,152.8016170010769,154.2105522155762,133.22365,89.69068,112.27945,85.80401979762166,12.032120283324241,41.38095165021261
0.6100000018186574,153.0933429732955,152.99753247633825,154.30363655090332,133.0909,89.961235,112.27475,85.59030962440683,10.839157417450233,40.81859321743613
0.7100000021167981,153.73506379819284,152.54082934824015,154.68877601623535,133.1731,89.6217,112.35376,83.50157207807572,12.352843334769492,41.38130403256784
0.8100000024149386,153.45592509241484,152.93878393379046,154.56158447265625,133.56308,89.97634,112.47976,84.9681236439949,12.687601806332774,40.97616587610625
0.9100000027130792,154.53674850865107,153.508114675252,155.3946933746338,133.23007,89.95191,112.37112,84.42829017326288,11.861097640383779,42.16563187046748
1.0100000030112197,152.7153022678991,152.8708185520675,151.93575668334958,133.45874,89.372025,112.231125,87.29808307357533,13.178831011554596,40.4841773899694
1.1100000033093604,153.31905563321746,152.51807167547213,152.36215782165527,133.32964,89.88313,112.29432,89.58063559296123,13.700686978360562,41.02473648038543
1.210000003607501,155.05458143120416,152.8669052063037,158.76303672790527,133.59209,89.514145,112.29843,75.17505473968292,14.057784036810986,42.75615003471978
1.3100000039056414,153.18120321371336,151.04095508383332,154.8227195739746,133.4732,89.68897,112.35566,81.09538995274347,13.950715685401427,40.82554372885008
1.4100000042037821,153.37758756783475,153.23071334802276,155.35912322998047,133.367,89.64001,112.19147,85.52327959204023,15.304387163798026,41.1861202826785
1.5100000045019226,155.1532005956164,153.22731236702532,160.61085510253906,133.49765,89.66271,112.19747,74.78248009603428,15.850135147121104,42.95572897696405
1.6100000048000631,155.50105985073404,153.1360629026076,159.38970565795898,133.34831,89.97974,112.271065,73.84252813204621,15.476385590443668,43.229995092433256
1.7100000050982036,156.9609368202706,152.81065074698057,162.17068672180176,133.44936,90.02809,112.38554,67.9429717861805,15.492892456080067,44.57540062642295
