Time_ns,Protein_CA_A,ECD_CA_A,GLP1_CA_A,LNK_Heavy_A
0.010000000029814058,1.5985021098901982e-07,1.8079337004248298e-07,0.0,0.0
0.11000000032795462,1.0984730789702832,1.0950530468355553,1.0097708332259179,1.7161230279604422
0.2100000006260952,1.3751474784564697,1.3795886162904671,0.8063115881139966,2.380676678660909
0.3100000009242358,1.4834238256657841,1.4750421488733039,0.9493840588641856,2.911709057700891
0.41000000122237634,1.7190954459554493,1.6978469483505303,1.3386248516657424,2.776528135974854
0.5100000015205169,1.8017403446339926,1.7833933797014554,1.341671248105382,2.5049213201045952
0.6100000018186574,1.8427369155842312,1.8196729128907874,1.5170806351943862,3.0696310102745232
0.7100000021167981,1.9059900989028105,1.8866697750620915,1.2995467349861598,2.2475612053368996
0.8100000024149386,1.913532659349493,1.8980185791715558,1.4871883293274606,2.866492761679447
0.9100000027130792,1.656993712215181,1.6505827556866752,1.0346110630446244,2.407557500505504
1.0100000030112197,1.851838947177705,1.8401379816832284,1.2100084706671212,2.854901317652147
1.1100000033093604,1.7867998961217482,1.7878410518272034,0.8740050080429327,2.7928282323934632
1.210000003607501,1.76517649630743,1.7563566249701599,1.207217149088279,2.7935643337730607
1.3100000039056414,1.9566673722623236,1.9550715381317072,0.9489879996504681,3.025148906272967
1.4100000042037821,1.8218779706922816,1.8203056765212704,1.0041223266183659,4.0210692267180095
1.5100000045019226,1.9375479059405705,1.9443344638032265,0.9495068366765818,4.038962080645537
1.6100000048000631,1.941937834648788,1.9408039730131248,1.0866785409523307,3.831843377645088
1.7100000050982036,2.0379928371343974,2.047297416118731,1.0768586893424843,3.565442290146942
1.8100000053963443,2.0059973558205746,2.0134017347798663,0.9322087662211795,4.8991962337658155
1.9100000056944848,1.9883162905786487,1.9961851347394581,0.9900035149492983,4.500576561600977
2.0100000059926253,2.1660307597210067,2.1503670623829048,1.121966360096755,4.372163052262199
2.110000006290766,2.102547082636032,2.0910259830513422,1.4470688150971285,4.22153842496535
2.2100000065889067,1.9266940864325468,1.919097432595045,1.2224880835683727,4.355792145218617
2.3100000068870474,2.2384069212404762,2.209422118194186,1.1166308937861915,3.583226164170173
2.4100000071851877,2.1621291105128617,2.150666179587887,1.340493097671169,4.3183364260330555
2.5100000074833284,2.325970564987199,2.3193255173154785,1.5680669584456712,2.8034099820469818
2.6100000077814687,2.360594834312286,2.3686664184403066,1.1851545252485662,2.9546910689543195
2.7100000080796094,2.196276076169799,2.184619456222018,1.2508021571637284,4.414744613229728
2.81000000837775,2.294134725602401,2.2868433023273202,1.4271978183935061,3.5704982731591093
2.9100000086758904,2.188893084309989,2.193457736774153,1.0375528928221784,4.433911430591233
3.010000008974031,2.338599981401215,2.344212496102481,1.1243117066698585,4.2159061927273624
3.110000009272172,2.5862904130776863,2.590645555431922,1.5946873813536815,4.301287732681467
3.210000009570312,2.608936700721421,2.6195195129251103,1.3172748709021753,4.104293131658888
3.3100000098684528,2.7438890027803393,2.7537798463773457,1.6318809858366254,3.7011174280114782
3.410000010166593,2.5683746123091757,2.568733231712201,1.5265925556678932,4.057864923927555
3.5100000104647338,2.759144874598179,2.7568870263796397,1.6865077706154241,4.022523755519799
3.6100000107628745,2.7027225993481223,2.694989815118457,1.5219841302474126,3.642389710441884
3.710000011061015,2.683752670932943,2.669022376168331,1.8996752062569955,3.5594949920157912
3.810000011359156,2.482759046654574,2.443352289994119,2.214403299610887,4.780328434052666
3.9100000116572966,2.3287764532406707,2.3033086458364473,1.7058781652858368,4.162564117002334
4.010000011955437,2.534923468692193,2.5073780278741915,1.8183355325784065,3.36781494060523
4.110000012253577,2.541847498842841,2.518821921351395,1.9272591995081645,4.2853854988041995
4.210000012551718,2.429294460647632,2.4302534861053977,1.3806392340246612,3.8075507057110283
4.310000012849859,2.278024693244166,2.2814804557527544,1.4506673048756706,4.5744654494288906
4.410000013147999,2.53789400291079,2.5493122151284373,1.2870360475120102,4.389139185352894
4.51000001344614,2.56844804849263,2.56880324350129,1.4469076312047209,3.8364142011259417
4.610000013744281,2.45323325163952,2.440613313168504,1.7293079032604757,3.5825860655202186
