Time_ns,Protein_A,ECD_A,GLP1_A
0.010000000029814058,39.088103652859616,38.68961274904594,11.229492148082736
0.11000000032795462,39.201428404307016,38.806043800355276,11.364639730813437
0.2100000006260952,39.05421015169487,38.66037361299023,11.281195241293494
0.3100000009242358,39.223255202859626,38.837511079989085,11.182587964098749
0.41000000122237634,39.0826749864142,38.704118718331586,11.205032215430467
0.5100000015205169,39.2624549459005,38.889128216565354,10.892205536984962
0.6100000018186574,39.27709951820389,38.916302488386144,10.880892027215163
0.7100000021167981,39.2642823118758,38.91425828685417,10.80245995360192
0.8100000024149386,39.31764342196094,38.949603028048884,10.894767557829953
0.9100000027130792,39.32866715042809,38.95132970284086,10.969884366770874
1.0100000030112197,39.22020864531139,38.85650384716769,10.894643474521649
1.1100000033093604,39.11072930573689,38.73128773779454,11.083648046855897
1.210000003607501,39.19757368542881,38.82114242798901,11.044767632539894
1.3100000039056414,39.1205417699303,38.72606714334772,11.312618860429872
1.4100000042037821,39.15968585873635,38.77027504167472,11.20837071665015
1.5100000045019226,39.23567742540239,38.832744183630794,11.27601299905085
1.6100000048000631,39.14625247095539,38.750497513378264,11.281407274732887
1.7100000050982036,39.035006393627626,38.633166379841555,11.160500084386806
1.8100000053963443,38.910139349908675,38.521122181783305,11.266782018276682
1.9100000056944848,39.00537753315571,38.61067016519867,11.060023130003962
2.0100000059926253,39.08711777102167,38.70116135517896,11.24102624393744
2.110000006290766,38.98668580360553,38.605090978714586,11.062474610970046
2.2100000065889067,39.04907899490417,38.66915170979032,11.150017812478486
2.3100000068870474,39.09478342449356,38.73306619460786,11.040249749571302
2.4100000071851877,38.99587069254561,38.63535228428824,11.17997138628633
2.5100000074833284,39.010830483441964,38.6458721906722,10.925152880672314
2.6100000077814687,38.86608631546066,38.490670641786316,11.184331135078498
2.7100000080796094,38.79166810015748,38.42200942058929,11.048437575160584
2.81000000837775,38.95676787728295,38.5802070885599,11.43551652032059
2.9100000086758904,38.97005529459136,38.58913542478094,11.192440211015947
3.010000008974031,39.05586919834167,38.679876751988374,11.145347572594169
3.110000009272172,39.053599069247745,38.6589810687022,11.152466651858031
3.210000009570312,39.06401623938275,38.67098429260014,11.144541139698532
3.3100000098684528,39.04236483069825,38.638549602744625,11.140214050078312
3.410000010166593,39.09874913436286,38.71132949696422,11.253523836047703
3.5100000104647338,39.1641790615603,38.801434280537684,10.654158805940346
3.6100000107628745,39.201210926279096,38.8523278664095,10.721764927222804
3.710000011061015,39.22083883041001,38.85645168408216,10.947390324927133
3.810000011359156,39.157969162306664,38.80120276696338,10.688885094740959
3.9100000116572966,39.14099488553834,38.77692403895844,10.821904984561169
4.010000011955437,39.20118179094382,38.84835816966461,10.717832597999182
4.110000012253577,39.177028843903244,38.81288021805439,10.72705407126218
4.210000012551718,39.2536772840411,38.875967166322894,11.026146423893048
4.310000012849859,39.27864608053963,38.887526192853564,10.928679737581374
4.410000013147999,39.22086239503889,38.819260391163354,11.394032874873217
4.51000001344614,39.09338980776641,38.71035411870779,11.081061369916306
4.610000013744281,39.13688180165123,38.74834548589971,10.79289472386423
4.7100000140424205,39.37763823314758,39.004175788203284,10.770560696513256
4.810000014340561,39.190790653768616,38.80891569459265,11.18040722833479
4.910000014638702,38.98174258055919,38.598228779741156,10.942697639093739
5.010000014936843,39.12125521188281,38.74087414111836,10.881943284232229
5.110000015234983,39.239940588936804,38.86080465374818,10.97005587109957
5.210000015533123,39.02529350298729,38.648062666907286,11.070937907434464
5.310000015831264,39.20077086419515,38.807779961136994,11.324582924313198
5.410000016129405,39.33552617188165,38.95184422379564,11.016630196066647
5.510000016427545,38.92018249123146,38.56103963389227,10.62110010798137
5.610000016725686,38.932508093311135,38.57508532015089,11.00406699752876
5.710000017023827,39.29560802396212,38.93277782938707,10.774505192006883
5.810000017321967,39.22652415947423,38.86204841262232,10.650978016376262
5.910000017620107,39.125634974390955,38.762854260288414,10.704156426691187
6.010000017918248,39.15861872818608,38.779323088407,10.976669178240826
6.110000018216389,39.06925460602989,38.68039437391668,10.906630869028248
6.210000018514529,39.04504267338461,38.6775963942935,10.67619274819832
6.310000018812669,39.364209177020356,38.981229575680686,10.931489393630805
6.41000001911081,39.29105537834372,38.890785364139354,10.772688651186517
6.510000019408951,39.07621756787908,38.68124967792793,11.173749324481538
6.610000019707091,38.98369530845687,38.579276702618436,11.17766113339219
6.710000020005232,39.03730181401888,38.63990362458002,11.027758524054027
6.810000020303372,39.1770379988326,38.7832734715732,11.065627241943504
6.9100000206015135,39.235294414854856,38.82567585330429,10.920402138102371
7.010000020899654,39.09205729563288,38.714839360301944,10.596798492473729
7.110000021197795,39.174252723184026,38.79156109705162,10.840039742122102
7.210000021495936,39.00394162846534,38.61764769948758,10.845884385353079
7.310000021794076,39.24258248549838,38.83985879938414,10.713233377587295
7.410000022092216,39.18247416028903,38.79492734817969,10.879189911132663
7.510000022390357,39.077882618118956,38.68634189822606,10.83995202599431
7.610000022688498,39.05288103793805,38.66157437380118,10.705095993182622
7.710000022986638,39.02704013017971,38.651036161102176,10.839682063326325
7.810000023284779,39.23123883293843,38.82403694494414,11.025167348673191
7.910000023582919,39.07549861689929,38.69175772870359,10.790800456621952
8.01000002388106,39.41770329392555,39.00586531188169,10.961672143464671
8.1100000241792,39.234118091007986,38.8356086609841,10.857404635491706
8.21000002447734,39.16338209824295,38.760483730253554,10.964888071455205
8.310000024775482,39.01321151183363,38.61991773125574,10.74673283535801
8.410000025073622,39.20742984767845,38.8153402915514,10.805724807078102
8.510000025371763,39.02932413844318,38.63391028113726,10.648020426476158
8.610000025669903,38.89321300581572,38.49900510788374,10.912155227409071
8.710000025968045,38.85144449838262,38.44554008469568,10.994687807095087
8.810000026266183,38.75430787756253,38.3508326133802,11.136879409386781
8.910000026564324,38.9220971108191,38.54083672784133,10.860741216932004
9.010000026862466,38.84903749899395,38.464190306507504,10.747603807365541
9.110000027160606,38.85142997581413,38.438313033813984,10.892456495442602
