Time_ns,Contacts_ECD_Lipid,Contacts_GLP1_Lipid,Contacts_LNK_Lipid
0.010000000029814058,8,0,0
0.11000000032795462,6,0,0
0.2100000006260952,7,0,0
0.3100000009242358,8,0,0
0.41000000122237634,8,0,0
0.5100000015205169,8,0,0
0.6100000018186574,9,0,0
0.7100000021167981,9,0,0
0.8100000024149386,9,0,0
0.9100000027130792,7,0,0
1.0100000030112197,8,0,0
1.1100000033093604,7,0,0
1.210000003607501,7,0,0
1.3100000039056414,7,0,0
1.4100000042037821,7,0,0
1.5100000045019226,8,0,0
1.6100000048000631,7,0,0
1.7100000050982036,9,0,0
1.8100000053963443,6,0,0
1.9100000056944848,6,0,0
2.0100000059926253,6,0,0
2.110000006290766,6,0,0
2.2100000065889067,7,0,0
2.3100000068870474,5,0,0
2.4100000071851877,6,0,0
2.5100000074833284,7,0,0
2.6100000077814687,6,0,0
2.7100000080796094,5,0,0
2.81000000837775,5,0,0
2.9100000086758904,6,0,0
3.010000008974031,5,0,0
3.110000009272172,9,0,0
3.210000009570312,7,0,0
3.3100000098684528,6,0,0
3.410000010166593,8,0,0
3.5100000104647338,9,0,0
3.6100000107628745,9,0,0
3.710000011061015,6,0,0
3.810000011359156,6,0,0
3.9100000116572966,6,0,0
4.010000011955437,10,0,0
4.110000012253577,7,0,0
4.210000012551718,7,0,0
4.310000012849859,9,0,0
4.410000013147999,10,0,0
4.51000001344614,7,0,0
4.610000013744281,9,0,0
4.7100000140424205,7,0,0
4.810000014340561,7,0,0
4.910000014638702,7,0,0
5.010000014936843,7,0,0
5.110000015234983,7,0,0
5.210000015533123,6,0,0
5.310000015831264,4,0,0
5.410000016129405,7,0,0
5.510000016427545,5,0,0
5.610000016725686,9,0,0
5.710000017023827,6,0,0
5.810000017321967,6,0,0
5.910000017620107,8,0,0
6.010000017918248,7,0,0
6.110000018216389,10,0,0
6.210000018514529,9,0,0
6.310000018812669,8,0,0
6.41000001911081,6,0,0
6.510000019408951,9,0,0
6.610000019707091,8,0,0
6.710000020005232,9,0,0
6.810000020303372,7,0,0
6.9100000206015135,8,0,0
7.010000020899654,7,0,0
7.110000021197795,8,0,0
7.210000021495936,6,0,0
7.310000021794076,6,0,0
7.410000022092216,7,0,0
7.510000022390357,6,0,0
7.610000022688498,6,0,0
7.710000022986638,7,0,0
7.810000023284779,8,0,0
7.910000023582919,5,0,0
8.01000002388106,6,0,0
8.1100000241792,6,0,0
8.21000002447734,5,0,0
8.310000024775482,6,0,0
8.410000025073622,8,0,0
8.510000025371763,7,0,0
8.610000025669903,8,0,0
8.710000025968045,12,0,0
