Time_ns,Area_per_lipid_A2,Membrane_thickness_A
0.0,82.92204648902033,47.25800323486328
0.01,83.04379350754591,47.222903442382815
0.02,82.9389708434544,47.18780364990234
0.03,83.06654162309185,47.152703857421876
0.04,83.05370797710727,47.1176040649414
0.05,83.08234666407951,47.08250427246094
0.06,82.95305111020683,47.04740447998047
0.07,82.99136424217608,47.0123046875
0.08,82.99006338220202,46.97720489501953
0.09,82.8382934736465,46.94210510253906
0.1,82.91094263123532,46.907005310058594
0.11,82.88506869918949,46.964804077148436
0.12,82.92292195543958,47.02260284423828
0.13,82.88423204721767,47.08040161132813
0.14,83.00360699043337,47.13820037841797
0.15,83.02563461791998,47.19599914550781
0.16,83.20061321485629,47.253797912597655
0.17,83.12449864105484,47.3115966796875
0.18,82.90722219963544,47.36939544677735
0.19,83.18539009251953,47.42719421386719
0.2,83.07974352859483,47.48499298095703
0.21,82.93423262189758,47.49229354858399
0.22,83.12339008936041,47.499594116210936
0.23,83.16943342260157,47.50689468383789
0.24,83.30782057478096,47.51419525146484
0.25,83.19689918550147,47.5214958190918
0.26,83.17132880179088,47.52879638671875
0.27,83.22390515830313,47.5360969543457
0.28,83.36410609099403,47.54339752197266
0.29,83.4884636131002,47.55069808959961
0.3,83.71998537506973,47.55799865722656
0.31,83.68454375835186,47.5364990234375
0.32,83.7524067950993,47.51499938964844
0.33,83.84853707691666,47.493499755859375
0.34,83.79101406267532,47.47200012207031
0.35,83.92406274999682,47.45050048828125
0.36,83.80484289493604,47.42900085449219
0.37,83.69390142569411,47.407501220703125
0.38,83.66806078962966,47.38600158691406
0.39,83.601266104624,47.364501953125
0.4,83.51351420256972,47.34300231933594
0.41,83.45090122945123,47.36850128173828
0.42,83.25099291338509,47.39400024414063
0.43,83.20512045283877,47.419499206542966
0.44,83.43226526393174,47.44499816894531
0.45,83.0912453111563,47.470497131347656
0.46,83.17842699259747,47.49599609375
0.47,83.19352052247338,47.52149505615235
0.48,83.09991244569113,47.546994018554685
0.49,83.0608977891693,47.57249298095703
0.5,83.1503712376676,47.597991943359375
0.51,83.0377124086666,47.56479415893555
0.52,82.96860066731004,47.53159637451172
0.53,83.09453168175034,47.49839859008789
0.54,83.20984061260538,47.46520080566406
0.55,83.17067121880918,47.432003021240234
0.56,83.30022006534169,47.39880523681641
0.57,83.39376010631335,47.36560745239258
0.58,83.50222869911315,47.33240966796875
0.59,83.57882618361995,47.29921188354492
0.6,83.59901034494685,47.266014099121094
0.61,83.52637685990915,47.302912902832034
0.62,83.44145383919687,47.33981170654297
0.63,83.41468375515532,47.37671051025391
0.64,83.41225619293145,47.41360931396484
0.65,83.48896743022384,47.45050811767578
0.66,83.68178893926726,47.48740692138672
0.67,83.61845355459111,47.524305725097655
0.68,83.52911619821607,47.561204528808595
0.69,83.48386473731946,47.59810333251953
0.7,83.47810986466996,47.63500213623047
0.71,83.83122243668507,47.521002197265624
0.72,83.79362831743532,47.40700225830078
0.73,83.75452229501417,47.29300231933594
0.74,83.83211563434068,47.179002380371095
0.75,83.86312159793187,47.06500244140625
0.76,83.95212565518415,46.951002502441405
0.77,83.99658383561552,46.83700256347656
0.78,83.7814568524034,46.72300262451172
0.79,83.74375097997962,46.609002685546876
0.8,83.94298024584533,46.49500274658203
0.81,83.78405801685163,46.55260162353515
0.82,83.84314507578154,46.61020050048828
0.83,83.73146670365703,46.667799377441405
0.84,83.80664195687841,46.725398254394534
0.85,83.77611229794428,46.782997131347656
0.86,83.9014500430759,46.84059600830078
0.87,83.68411695242675,46.89819488525391
0.88,83.7815603805651,46.95579376220703
0.89,83.93258539887269,47.01339263916016
0.9,83.91783942005742,47.07099151611328
0.91,83.82421294476605,46.98949279785156
0.92,83.67486329432643,46.90799407958984
0.93,83.74490247517895,46.82649536132813
0.94,83.86423507129491,46.74499664306641
0.95,83.81263465500804,46.66349792480469
0.96,83.83298294676264,46.58199920654297
0.97,83.75197981615231,46.50050048828125
0.98,83.8638337021376,46.419001770019534
0.99,83.88783337884809,46.337503051757814
1.0,84.00236950982126,46.256004333496094
1.01,84.20263250173915,46.2295036315918
1.02,84.2178965171555,46.2030029296875
1.03,84.24058426843519,46.1765022277832
1.04,84.19095027011281,46.150001525878906
1.05,84.28994083495947,46.12350082397461
