PC,Variance,Cumulative
1,0.6370871,0.6370871
2,0.084018834,0.72110593
3,0.06471674,0.7858227
4,0.031428576,0.81725127
5,0.025185715,0.84243697
6,0.017121665,0.85955864
7,0.011829372,0.871388
8,0.009059075,0.8804471
9,0.008289263,0.88873637
10,0.007634905,0.89637125
