Time_ns,Protein_A,ECD_A,GLP1_A
0.0,41.343852970026326,41.028857480589394,9.46843411531957
0.1,41.45682236148186,41.12958378073769,9.945899222163366
0.2,41.743587687643654,41.41843972260804,9.918491597224348
0.3,41.366889826032555,41.04429887187453,10.061711969652372
0.4,41.40105529490121,41.093286615407564,9.976990747868129
0.5,41.25006562659092,40.92757657191073,10.605689249757491
0.6,41.25228662816356,40.937734920581256,9.970489341474945
0.7,41.40342788794726,41.10817112324561,10.13039943775832
0.8,41.48988585736612,41.18639735808684,10.54792121369833
0.9,41.46413741547382,41.16890899682825,9.983219281162071
1.0,41.66730362436052,41.36781153465928,10.081653521166896
1.1,41.38802438574509,41.08932198255058,10.06356126834464
1.2,41.44059827203656,41.14269519152283,9.735840492508707
1.3,41.380513143904444,41.08674767073768,9.894440008600096
1.4,41.50065340401978,41.20289016961603,10.326104458579088
1.5,41.170849751726,40.892346399778745,10.247990576060749
1.6,41.418632949131336,41.11666826154751,10.085097445440871
1.7,41.03891882888137,40.748160337936504,9.74192852359619
1.8,40.96849163081303,40.677117828232895,9.775017858893653
1.9,41.20339470083822,40.915083276244815,9.548615305203066
2.0,41.00403151811317,40.717014782014544,9.76907661769101
2.1,40.97256669710927,40.68154842211096,9.806562145023902
2.2,40.91981166407894,40.64397502256796,9.486701068986664
2.3,40.77849844654856,40.48751060153251,9.863917191490495
2.4,40.75343820308557,40.44305429320427,9.53012189262029
2.5,40.669674974717886,40.381506678338724,9.491226587642306
2.6,40.97829021079716,40.69039721487929,9.5903886138768
2.7,40.72453099572328,40.43792513614259,9.614752352502393
2.8,40.83367990527724,40.53614143039799,9.769200839167452
2.9,40.960387216649664,40.67025021164215,9.554543129088877
3.0,41.03209338603813,40.724971074288426,9.743725797215102
3.1,41.11430667982108,40.815902522104146,9.752652049250504
3.2,40.70296586849529,40.413397878423815,9.789199290680855
3.3,40.64443558386871,40.33606776696703,9.697234591691483
3.4,40.74652064191309,40.44876867365044,9.723677470696128
3.5,40.587697414989044,40.28118878530394,9.524362447782172
3.6,40.65268861113159,40.349188195847596,9.44072618717725
3.7,40.97726212516258,40.667251692462024,9.270154551176267
3.8,40.67845052333652,40.36068884528455,9.286052595886554
3.9,40.73941676610031,40.426542413130036,9.238090052079116
4.0,40.75563244459818,40.442112832106616,9.328838403440635
4.1,40.57658677528512,40.27298769091251,9.649973966692192
4.2,40.51247665021529,40.20838613533991,9.585093636589987
4.3,40.49470384091098,40.18916296778894,9.424523174650552
