Time_ns,LNK_COM_z_A,LNK_Head_z_A,LNK_Tail_z_A,Mem_Upper_z_A,Mem_Lower_z_A,Mem_COM_z_A,LNK_Tilt_deg,LysNZ_LNK_Dist_A,LNK_COM_rel_mem_A
0.0,167.78984788214865,156.04397661497268,173.38501167297363,129.52101,82.26301,106.9716,46.29680019137256,15.265611124558141,60.81824448859396
0.1,169.04989254851162,156.74563115742757,175.58750915527347,129.46901,82.562004,107.1391,41.54799919610181,15.59655235108222,61.91079342741787
0.2,167.94425451031097,156.41362963553718,173.5187530517578,129.642,82.157005,106.7943,47.20035897178816,15.165351910802952,61.14995824566253
0.3,167.09695754610283,154.7105163952334,175.87250900268555,128.781,81.22301,106.22583,35.811090873627364,14.489156712591571,60.87112746797783
0.4,165.20388043538924,153.44131005498335,173.98251152038574,128.621,81.278,106.37573,39.14313914567287,14.148178993592651,58.82814801351424
0.5,165.40602906635365,152.88852609135833,173.40625953674316,129.536,81.938,107.007065,42.3121686701973,13.800397765721586,58.398964247017716
0.6,164.17099848529406,151.23846619390278,173.40875625610354,128.65802,81.392006,106.31776,39.283028636658095,14.521133099710662,57.85324183246203
0.7,165.91326198803029,154.2904601093295,172.34126091003418,128.807,81.172005,106.201775,44.6249886542792,14.463437401477657,59.71148739086232
0.8,164.1568680589153,151.04255194812654,174.41625785827634,127.90401,81.409004,105.85863,32.840359872426276,14.574384777642729,58.29824073957937
0.9,163.86922570138924,151.4613730033429,174.60875701904297,128.114,81.04301,105.79342,27.702384290468576,13.734816731703514,58.075806817111896
1.0,163.47505785733037,150.97094209276133,172.7325077056885,127.95201,81.69601,105.77819,34.480607596283726,13.616584001452186,57.6968672445374
1.1,162.2471410215263,151.72830471096756,171.90625762939456,127.147,81.156006,105.46564,31.634469524887948,12.994515606396199,56.78150381449504
1.2,160.95456533771758,147.88479552997006,169.81125831604,127.044014,81.496,105.455605,42.02331138269632,13.306371968692705,55.498960784494926
1.3,160.14383820094304,148.26663829214948,166.84750938415527,127.33001,81.670006,105.37215,51.77911399026241,14.905714799733142,54.771691594497725
1.4,161.12427411061716,150.9095013058157,164.7412567138672,126.78701,81.17,105.30245,56.0177021920096,13.59586479923389,55.82182202321482
