Time_ns,PC1,PC2
19.9,190.6274,54.955643
20.0,194.8471,61.347168
20.1,195.72186,60.343163
20.2,196.24655,62.304432
20.3,192.18442,54.204586
20.4,192.6686,50.00698
20.5,195.19528,58.290184
20.6,214.14212,55.81819
20.7,215.14757,65.802734
20.8,200.66756,59.688667
20.9,212.53122,62.95812
21.0,209.27908,69.92796
21.1,202.90811,66.0213
21.2,201.84312,58.15577
21.3,209.82474,54.39815
21.4,204.6083,57.200844
21.5,202.08617,57.538387
21.6,195.63197,65.25281
21.7,193.12904,59.9265
21.8,199.9031,65.9373
21.9,192.73708,63.66864
22.0,197.80292,71.04219
22.1,201.53609,61.204567
22.2,187.29471,68.51279
22.3,186.30032,72.463104
22.4,177.10046,70.18095
22.5,171.1174,62.34074
22.6,164.37155,52.89324
22.7,181.30486,61.403378
22.8,174.56178,56.647064
22.9,187.97253,63.156563
23.0,188.4226,60.34124
23.1,175.98447,51.775307
23.2,177.13022,40.500042
23.3,176.21587,34.169594
23.4,183.45518,35.11359
23.5,192.53947,40.900864
23.6,201.62045,47.224022
23.7,195.68999,42.971268
23.8,203.66296,44.05283
23.9,188.61104,32.211372
24.0,180.56348,37.764378
24.1,182.17357,39.815594
24.2,177.75075,40.82898
24.3,176.0761,45.596004
24.4,167.24559,32.651104
24.5,166.09312,33.383003
24.6,171.50574,39.403988
24.7,164.72064,36.97749
24.8,171.62402,23.69496
24.9,176.36548,23.316563
25.0,167.14816,20.239777
25.1,168.37039,19.511791
25.2,162.49533,17.932165
25.3,163.3113,30.858976
25.4,186.10739,25.00856
25.5,183.41962,13.601938
25.6,188.11159,23.420355
25.7,189.08385,26.445213
25.8,191.91478,30.318462
25.9,190.00165,34.378456
26.0,188.04274,26.836464
26.1,190.72523,13.09259
26.2,190.8519,18.84958
26.3,178.69037,18.237541
26.4,195.20651,20.064384
26.5,187.23807,21.188223
26.6,195.82977,22.953547
26.7,190.26437,29.019903
26.8,201.14062,25.030905
26.9,195.5554,24.829893
27.0,199.6672,20.881468
27.1,178.4603,12.462059
27.2,169.39885,14.224007
27.3,176.40227,8.809653
27.4,181.9304,8.138944
27.5,182.61552,10.350636
27.6,181.14903,0.29740202
27.7,201.88017,1.1587777
27.8,192.72469,2.2200742
27.9,192.78218,5.4914
28.0,193.52756,17.873562
28.1,192.521,18.466179
28.2,187.70345,20.516235
28.3,189.20078,12.508183
28.4,181.05644,13.293428
28.5,178.32423,9.458302
28.6,186.78334,9.831027
28.7,181.37602,13.403165
28.8,183.61226,15.418774
28.9,185.76259,1.419719
29.0,177.76332,16.211561
29.1,184.55734,4.756219
29.2,175.62817,9.671271
29.3,186.05371,20.398748
29.4,187.66962,22.664051
29.5,173.43288,11.08054
29.6,183.77827,12.100347
29.7,187.66324,9.8582325
29.8,173.63258,18.870924
29.9,178.75185,17.122404
30.0,190.9709,8.644658
30.1,193.87555,23.802265
30.2,200.23933,31.973585
30.3,189.52757,35.689064
30.4,180.58401,26.317228
30.5,172.31529,25.371634
30.6,172.35301,17.100119
30.7,164.64014,25.57141
30.8,168.23494,18.802103
30.9,173.12395,18.237694
31.0,178.4876,23.990406
31.1,176.57275,21.52684
31.2,166.15219,10.124356
31.3,163.75987,4.4689536
31.4,173.85553,-2.5276976
31.5,167.87411,0.7227659
31.6,161.33249,-7.335362
31.7,159.31761,-1.3230855
31.8,157.91212,5.940872
31.9,173.61118,10.694263
32.0,176.69687,14.3943615
32.1,178.69145,15.977947
32.2,167.72232,9.752807
32.3,173.23103,6.5102735
32.4,170.78792,15.308339
32.5,175.46315,14.007253
32.6,181.21643,15.548507
32.7,177.59041,14.56517
32.8,172.03708,7.48501
32.9,183.00528,2.670047
33.0,172.97206,-10.158124
33.1,171.71349,6.511378
33.2,176.64896,11.005337
33.3,170.89732,0.46486962
33.4,165.84247,7.067569
33.5,179.87697,17.455692
33.6,168.0976,-11.239838
33.7,154.26654,-3.2515807
33.8,153.58163,8.63741
33.9,164.43697,0.027379632
34.0,167.25389,0.64028096
34.1,150.82292,1.4328454
34.2,153.82613,3.0870986
34.3,133.78323,0.80363125
