Time,Potential,Temperature,Pressure,Volume,Density,Box-X,Box-Y,Box-Z
0.0,-3622993.5,319.1898498535156,35.84330368041992,3146.869140625,997.3341064453125,12.290080070495605,12.279669761657715,20.851499557495117
10.0,-3620687.25,310.4872131347656,-22.857236862182617,3152.118408203125,995.6732177734375,12.29909896850586,12.288681030273438,20.85565948486328
20.0,-3624823.75,310.123779296875,-36.86395263671875,3150.17041015625,996.2889404296875,12.29133415222168,12.280922889709473,20.86911392211914
30.0,-3623420.75,310.7038879394531,61.39372634887695,3149.39111328125,996.5354614257812,12.300783157348633,12.290364265441895,20.8319091796875
40.0,-3622543.5,310.0646057128906,36.423030853271484,3146.25732421875,997.5280151367188,12.299833297729492,12.289414405822754,20.81439781188965
50.0,-3622060.5,310.1196594238281,56.145751953125,3148.69482421875,996.7557983398438,12.301953315734863,12.291533470153809,20.823341369628906
60.0,-3626413.25,310.58489990234375,27.781959533691406,3146.463623046875,997.462646484375,12.292377471923828,12.281965255737305,20.841020584106445
70.0,-3626355.25,308.33758544921875,-122.97264862060547,3148.42578125,996.8410034179688,12.295215606689453,12.284801483154297,20.844388961791992
80.0,-3625310.25,309.26824951171875,30.73345947265625,3148.8427734375,996.708984375,12.295119285583496,12.28470516204834,20.847476959228516
90.0,-3625703.25,309.0945129394531,-21.016014099121094,3147.6328125,997.0921020507812,12.2838716506958,12.273467063903809,20.87764549255371
100.0,-3622637.0,309.5328063964844,17.43583106994629,3150.345703125,996.2334594726562,12.289257049560547,12.278847694396973,20.877330780029297
110.0,-3623588.5,310.5529479980469,23.957441329956055,3146.059326171875,997.5908203125,12.287339210510254,12.276931762695312,20.855432510375977
120.0,-3624216.25,309.6271057128906,-27.11628532409668,3149.92724609375,996.3658447265625,12.290144920349121,12.27973461151123,20.87154197692871
130.0,-3621709.25,309.927734375,-46.972198486328125,3147.707763671875,997.068359375,12.287277221679688,12.276869773864746,20.8665714263916
140.0,-3623203.25,310.7292175292969,46.53642272949219,3149.975341796875,996.3505859375,12.296122550964355,12.285707473754883,20.851572036743164
150.0,-3620703.75,310.315185546875,-54.07126998901367,3149.381591796875,996.5384521484375,12.297754287719727,12.287337303161621,20.84210968017578
160.0,-3624489.0,310.51788330078125,7.3058319091796875,3148.57470703125,996.7938232421875,12.31070613861084,12.300278663635254,20.792949676513672
170.0,-3627758.0,310.12603759765625,-11.54180908203125,3146.62255859375,997.4122314453125,12.305073738098145,12.29465103149414,20.799083709716797
180.0,-3625943.25,310.50262451171875,63.39866256713867,3143.33154296875,998.45654296875,12.288981437683105,12.278572082519531,20.831783294677734
190.0,-3623198.5,309.84771728515625,57.98471450805664,3149.746826171875,996.4229125976562,12.309579849243164,12.299153327941895,20.804494857788086
200.0,-3621470.5,309.7848205566406,41.12685775756836,3146.33544921875,997.5032348632812,12.30176067352295,12.291340827941895,20.80838966369629
210.0,-3626314.25,308.3834533691406,31.719329833984375,3147.81201171875,997.0353393554688,12.290983200073242,12.280571937561035,20.85468101501465
220.0,-3624576.75,309.13983154296875,5.207913875579834,3152.3564453125,995.5980224609375,12.304991722106934,12.29456901550293,20.837263107299805
230.0,-3626703.75,310.0143737792969,-75.45665740966797,3147.1904296875,997.2322998046875,12.308399200439453,12.2979736328125,20.79159927368164
240.0,-3622900.75,310.33038330078125,22.610288619995117,3151.875,995.7501220703125,12.318634986877441,12.30820083618164,20.78795623779297
250.0,-3624964.25,310.648681640625,16.386173248291016,3147.48876953125,997.1377563476562,12.310431480407715,12.300004005432129,20.786706924438477
260.0,-3629911.25,309.4452209472656,-65.40059661865234,3150.377685546875,996.223388671875,12.308539390563965,12.298113822937012,20.81218147277832
270.0,-3623865.75,310.0228271484375,62.99448013305664,3152.642578125,995.5076904296875,12.312429428100586,12.302000045776367,20.81398582458496
280.0,-3624001.0,309.2536926269531,-38.68860626220703,3155.85498046875,994.4943237304688,12.322795867919922,12.312357902526855,20.800153732299805
290.0,-3623250.5,310.8314514160156,-40.6368408203125,3152.215087890625,995.6427001953125,12.33198356628418,12.321537971496582,20.745216369628906
300.0,-3623537.0,309.81390380859375,-31.40502166748047,3152.041259765625,995.6975708007812,12.34907054901123,12.338610649108887,20.68670654296875
310.0,-3625451.5,309.3369445800781,41.634124755859375,3147.28662109375,997.2017822265625,12.346456527709961,12.33599853515625,20.66425132751465
320.0,-3626569.25,308.6586608886719,-42.8822021484375,3148.524658203125,996.8096923828125,12.351461410522461,12.340999603271484,20.655628204345703
330.0,-3625340.5,310.2062072753906,8.268681526184082,3149.65380859375,996.4523315429688,12.358548164367676,12.348079681396484,20.639347076416016
340.0,-3625185.0,309.56988525390625,-115.37432861328125,3145.84326171875,997.6593017578125,12.354308128356934,12.343843460083008,20.628528594970703
350.0,-3622853.5,311.01849365234375,31.436857223510742,3146.58203125,997.4251098632812,12.364112854003906,12.353639602661133,20.600662231445312
360.0,-3625184.25,309.5474853515625,-35.96613693237305,3150.126708984375,996.302734375,12.355327606201172,12.34486198425293,20.653207778930664
370.0,-3626835.75,309.4410705566406,-11.091715812683105,3149.61474609375,996.4646606445312,12.347146987915039,12.336688041687012,20.677223205566406
