Time_ns,Protein_CA_A,ECD_CA_A,GLP1_CA_A,LNK_Heavy_A
0.0,8.879030389763938e-06,8.839171185949997e-06,1.0203046740437264e-05,1.2190787688247088e-05
0.1,1.761400765177243,1.7441304271866214,1.5917485543817667,1.4498371741590486
0.2,1.9747191035517802,1.9813968602672223,1.267430495112115,2.375218050793839
0.3,2.2466002199611763,2.2529900529786366,1.5314114663243534,4.297778764817681
0.4,2.336408227587358,2.3378760660647475,1.449358028787174,3.9990117170779538
0.5,2.530845009750228,2.5176515287923684,2.728710225104666,3.5423931835941334
0.6,2.46037050483365,2.4731333813495295,1.423880093106649,3.5202537307023625
0.7,2.932172244583912,2.943654775339295,1.5629184396864797,3.2493493275101866
0.8,3.0778392439712285,3.0676916055571577,2.605843218089329,4.528715189216825
0.9,3.223169488098914,3.2196740998022038,1.8602073600379365,4.339276726946319
1.0,3.5798882070734463,3.603001512542468,1.7210379445551096,3.9724834842204357
1.1,3.627190398071454,3.650457261615793,1.5421162630184908,4.056414694813272
1.2,3.5500644308626534,3.5693227608748064,1.6343875570321384,4.146629298932869
1.3,3.850887331124793,3.8633827214263925,1.6694435657384126,3.9872250645214167
1.4,3.8790902577389192,3.895358719748987,2.213595688798848,3.4177168238121522
1.5,3.916598948200848,3.9239356769774916,2.1226427847564246,3.3357991943682426
1.6,3.892810990827764,3.8966802567923144,2.0095508932475346,4.115680761466441
1.7,4.354977548331138,4.372915974390702,1.596255881224165,3.7979818059026482
1.8,4.155162319821439,4.165453392414809,1.518124062618649,3.302746946676559
1.9,4.255458164333066,4.282484294886145,1.1516403295357278,2.890372110280133
2.0,4.238869612860514,4.269424745988441,1.4971311939857772,3.392237195624205
2.1,3.868864640261745,3.8962089840644234,1.6768977888251926,3.373814455333406
2.2,3.9215546016392735,3.9443326597471984,1.4550794224335066,5.030439898629048
2.3,4.191412748245366,4.214085977060289,1.728256909024591,5.271602357261845
2.4,4.082192024115006,4.116052983207926,1.4630563083932708,3.7065213082408803
2.5,4.457323593503724,4.481403585464362,1.2267938202826754,4.1928821081645244
2.6,4.348479570560994,4.3839946008995065,1.30200864127535,5.235760271674093
2.7,4.565608422470612,4.597632459453983,1.3525848194254197,5.436170352232403
2.8,4.669488789797694,4.702987172513242,1.5521599610946355,5.254677667698393
2.9,4.656582984808786,4.6924186629875955,1.4460326185355865,4.368324476639459
3.0,4.600573332056882,4.640362058899024,1.655696654997588,2.8761101151928323
3.1,4.551488433057,4.591570375458014,1.497720660863193,4.8330376825168075
3.2,4.64588812648208,4.682844139453218,1.5169933185325728,4.555470375869468
3.3,4.78430918440769,4.819993707687353,1.5167136299510924,4.07179875083985
3.4,4.662299282767664,4.697011364582684,1.4801311692744292,3.5744393305492355
3.5,4.743777926541212,4.781143662642378,1.421319678807573,3.6364850734310847
3.6,4.628597155002096,4.668974685661019,1.3770042723387481,3.0131085578763575
3.7,4.771684133190665,4.810413532808411,1.425474579322717,4.3460311842738255
3.8,4.502343903896332,4.54502186986133,1.4078860590598976,3.8018360303337873
3.9,4.751459898911951,4.791211222750875,1.262321927537768,4.695625678568678
4.0,4.8519139262261675,4.890934606170848,0.9500458560180145,4.284571767733509
4.1,5.136209484004673,5.172619696251768,1.2481413004837636,4.083938172072263
4.2,4.849603295349218,4.878095270621955,1.3212725988340968,4.310970294651144
4.3,4.971789649497281,5.007890876730437,1.0798317198546343,3.945408550211123
4.4,5.119098885317604,5.150361836377329,1.2565719726489082,3.3210984584648737
4.5,4.928763040782479,4.965959966818583,1.4111929434964139,3.2581516723900052
4.6,5.0034592055297225,5.038192700733597,1.844508863951783,3.345888506219414
4.7,5.343587552705231,5.364135280429407,1.7586825711041494,3.497969943083866
4.8,4.958930664892817,4.998720748691675,1.3146767040765566,3.4518491973777565
4.9,5.020697165250901,5.053258576533796,1.4255020079145104,3.182421780340667
5.0,5.152605927163147,5.185995517460568,1.7352982724682136,3.548683887122362
5.1,5.331273686185066,5.365734098940049,1.2537483232479834,4.037102947254774
