#Frame    epair[bond] epair[angle]   epair[dih] epair[vdw14] epair[elec14]   epair[vdw]  epair[elec] epair[total]
       1    1041.1062      65.0559       9.4745       3.0335       82.4500     484.6251     -14.8793    1670.8660
       2    1051.4795      56.3146      11.9100       3.9958       82.6151     488.6822     -11.8496    1683.1477
       3    1053.1037      53.1786      13.0472       3.5896       81.1776     475.0516     -10.0083    1669.1401
       4    1035.8728      56.6000      11.4622       2.1483       80.9532     489.4072     -10.3151    1666.1286
       5    1036.1189      56.0101      10.5359       4.4765       79.9760     490.2558     -10.2928    1667.0805
       6    1052.4940      44.2688       9.2195       2.3036       82.3266     488.9984     -10.7531    1668.8579
       7    1069.4398      60.1955      10.5216       2.3817       81.6438     468.6036     -12.5250    1680.2610
       8    1064.2974      61.4176      11.0586       3.1523       81.7726     459.4447     -11.3229    1669.8202
       9    1044.0384      49.1536      12.5279       1.6479       81.7920     493.0877     -11.4102    1670.8372
      10    1037.7373      51.5594      13.4482       3.5145       81.0653     497.7730     -10.1588    1674.9389
      11    1048.0576      49.6668       9.5856       3.4199       80.7425     495.6745     -12.4009    1674.7460
      12    1030.0816      56.9126      10.7074       2.5746       82.1640     498.2029     -11.6076    1669.0355
      13    1041.2912      59.1115      11.6142       3.9044       82.1431     486.4258     -10.9996    1673.4906
      14    1084.2864      46.3568      11.5746       2.9591       84.1364     454.9630     -12.4820    1671.7944
      15    1061.3861      61.8805       9.3748       2.2861       81.9106     466.6277     -12.1016    1671.3642
      16    1062.3193      52.4186       8.9599       2.9321       82.7317     467.1427     -11.1660    1665.3383
      17    1027.3667      57.4649      12.3935       1.5547       83.8143     505.5935     -11.3888    1676.7987
      18    1020.6171      52.3975      14.6850       1.9230       84.3612     517.7072     -13.3450    1678.3461
      19    1048.9734      64.1891       9.9734       2.8981       83.0453     474.2483     -11.7740    1671.5536
      20    1037.0638      54.8533       7.9865       2.2414       80.9353     493.7927     -13.4369    1663.4361
      21    1040.1563      53.4480      11.6800       3.4771       84.6384     489.1445     -13.9283    1668.6159
      22    1047.6787      57.6437      10.8538       1.9438       82.6374     477.8598     -11.8242    1666.7931
      23    1041.6857      57.0663      12.8399       2.2450       81.8271     490.0458     -11.5973    1674.1125
      24    1034.7055      47.9094      10.8620       3.6070       82.8705     498.7438     -11.1637    1667.5343
      25    1045.2429      57.6697      11.6331       4.7972       82.4195     482.5011     -13.0547    1671.2089
      26    1035.1275      59.0447      10.1546       2.7232       82.4890     488.9314     -12.3864    1666.0840
      27    1036.9984      56.7855      10.8290       4.7600       82.3869     492.7692     -12.0098    1672.5192
      28    1060.3173      52.0594      10.9941       4.3124       83.0360     474.4630     -12.5382    1672.6439
      29    1043.8424      53.0772      10.1741       2.2896       80.6782     492.4821     -10.5297    1672.0138
      30    1065.6537      53.6030      12.5789       5.8222       83.2398     462.5414     -12.1103    1671.3287
      31    1072.1406      49.4785      11.5406       2.5227       81.8727     464.3780     -10.7503    1671.1828
      32    1065.5661      54.1063      11.8577       2.9873       81.6231     460.2887     -10.6935    1665.7357
      33    1040.7288      50.0768       9.2874       2.0867       82.0282     484.9767     -11.9842    1657.2003
      34    1054.3814      64.8027      10.3718       2.6417       80.5950     466.2328     -12.2718    1666.7537
      35    1040.7548      63.6716      12.0829       2.9813       82.0070     481.9279     -10.6463    1672.7791
      36    1051.6738      55.8965       9.9416       3.3851       81.7676     482.2564     -11.9384    1672.9825
      37    1035.2039      56.3708      12.7890       3.2565       82.5483     485.0264     -11.6594    1663.5354
      38    1024.9935      58.0520      11.4112       5.0217       82.7205     502.5131     -13.2602    1671.4517
      39    1016.1060      54.1789      10.7224       4.6606       82.8098     512.3499     -10.5920    1670.2356
      40    1044.8261      51.1514       8.4709       2.5973       81.6372     484.8875     -12.0457    1661.5247
      41    1027.8835      60.7401      10.8665       3.3266       82.2121     504.7894     -11.6781    1678.1401
      42    1050.8955      47.7769       9.6860       1.9849       81.8540     484.2689     -13.3907    1663.0754
      43    1055.1022      53.3219      13.1697       4.6565       80.9310     479.1400     -11.3965    1674.9248
      44    1030.8409      61.2464      12.3863       4.0645       83.5862     494.6110     -12.9378    1673.7976
      45    1021.9212      57.9121      11.1857       4.1226       83.5134     506.1589     -12.3601    1672.4538
      46    1050.0747      54.7974       9.5591       2.8885       82.3038     478.2098     -11.2863    1666.5470
      47    1075.4352      53.3298      13.0241       2.8366       81.4443     453.8125     -12.1427    1667.7398
      48    1026.7414      60.3695      12.1577       2.5003       83.2555     496.4841     -11.5614    1669.9473
      49    1020.3043      56.4526      11.5387       4.7644       82.4105     506.4072     -12.4539    1669.4239
      50    1064.2867      49.0593      11.4251       2.7214       80.7744     478.9973     -13.7398    1673.5244
      51    1038.2365      60.5424      10.9388       3.4537       83.6496     494.3234     -13.1867    1677.9577
      52    1041.5575      55.4192      11.1955       2.6763       81.9979     486.7463      -9.9042    1669.6885
      53    1063.1218      50.6628       8.0603       3.6044       82.0644     471.8191     -12.8200    1666.5128
      54    1037.6054      52.3418       8.1563       2.5558       83.7865     489.8727     -13.4824    1660.8361
      55    1060.5155      57.8793      10.4122       3.9705       81.3577     468.8678      -8.9295    1674.0736
      56    1022.4412      65.3784       8.4029       2.5567       81.7632     495.7880      -9.6600    1666.6703
      57    1051.5081      61.4690      10.0397       3.9463       82.1350     469.9013     -11.2637    1667.7357
      58    1051.7331      48.5209      10.4556       2.6793       82.4943     482.9375     -13.4567    1665.3640
      59    1034.0687      58.9852      12.8410       4.9593       81.9731     486.9435     -13.3221    1666.4488
      60    1061.9168      52.3129      11.1735       4.1101       82.0948     462.1278     -10.3050    1663.4309
      61    1051.2914      41.1742      11.1149       2.3238       83.5266     493.6216     -14.8299    1668.2226
      62    1045.6309      55.1034      11.5474       3.5943       83.6896     481.1004     -12.1414    1668.5245
      63    1050.5743      50.4263      10.5528       3.8652       81.3835     479.5858     -13.2670    1663.1209
      64    1010.4165      56.6896      11.8099       4.7746       83.9300     514.5582     -13.3138    1668.8651
      65    1050.6788      62.5473       9.3613       2.9244       80.4839     469.8469     -15.6802    1660.1623
      66    1077.6470      48.6032      10.6348       3.3967       83.1956     458.3801     -13.9931    1667.8644
      67    1005.9840      50.4327      11.6949       3.3717       81.4500     524.6718     -12.6001    1665.0050
      68    1061.2432      57.1652      12.1229       4.0852       82.5243     469.5361     -11.8757    1674.8010
      69    1049.1769      47.6075       9.8663       4.3163       82.5440     489.3643     -13.1224    1669.7530
      70    1070.2208      57.9813      10.0345       3.7037       80.6771     460.3814     -11.7577    1671.2410
      71    1030.6328      60.9590      11.6579       2.5463       80.9256     494.5625     -11.8429    1669.4413
      72    1049.0773      55.9975       9.1922       2.3409       82.0976     479.4811     -12.3054    1665.8812
      73    1058.5221      57.6985      10.0933       3.7463       80.1362     474.4385     -12.6029    1672.0319
      74    1069.4328      66.7472      12.0311       4.9651       80.5638     457.2280     -10.9368    1680.0312
      75    1055.0493      45.7655       9.9665       2.2996       82.6429     489.7451     -12.4145    1673.0543
      76    1049.2256      69.5271      10.9055       3.7838       83.2478     467.8117     -13.5621    1670.9394
      77    1066.1414      53.3201      11.6005       2.5785       80.6935     467.0798     -11.3108    1670.1029
      78    1063.2288      58.6037       7.6052       2.6807       80.5388     461.3916     -12.6969    1661.3520
      79    1096.3479      51.4520      10.3956       1.8539       82.2010     446.5031      -8.9242    1679.8293
      80    1022.1501      59.6320      11.5246       2.8106       81.8102     506.0155     -13.9711    1669.9719
      81    1023.6686      62.3727       9.5610       3.2677       82.5299     497.3168     -12.9128    1665.8039
      82    1028.6440      52.4654       9.7171       3.6052       82.2162     497.3949     -10.1427    1663.9000
      83    1058.5912      59.5657       9.1108       4.6121       81.4008     471.3625     -11.1454    1673.4978
      84    1036.3148      54.2658       8.8049       3.9485       81.7420     501.3944     -12.0443    1674.4261
      85    1073.4893      45.9431       8.1404       2.0337       83.5819     469.2531     -12.7670    1669.6746
      86    1043.7906      63.0412      13.1557       4.3758       80.2076     487.2906     -10.4272    1681.4342
      87    1051.5251      55.0050       9.6595       5.4081       80.9013     473.7042      -9.0796    1667.1236
      88    1037.9665      60.9937       9.8588       2.0852       83.6138     490.7309     -13.9914    1671.2575
      89    1073.1265      45.5057       8.2685       2.3722       81.5092     464.3386     -10.1651    1664.9556
      90    1041.8628      56.8389       9.3599       3.7167       82.0921     482.8533     -12.9833    1663.7404
      91    1027.0111      60.1621      10.3784       3.3330       83.3090     495.6189     -11.1346    1668.6779
      92    1043.7682      67.1626      11.7067       4.1211       80.7638     482.6648     -10.5690    1679.6181
      93    1069.8256      58.0608       9.5036       2.7811       82.4892     467.2327     -12.6835    1677.2095
      94    1015.7053      72.2330      13.9374       3.7186       83.1094     501.4794     -12.2609    1677.9222
      95    1042.9954      58.1993      11.5988       4.3434       80.8139     485.7280     -10.9296    1672.7492
      96    1058.2299      55.1541      13.9722       4.4805       82.0959     470.6521     -13.1312    1671.4536
      97    1049.8552      52.5695      10.0930       3.2573       82.7906     485.6585     -13.5684    1670.6558
      98    1025.9896      58.3146      12.8452       5.1218       81.1545     497.0366     -11.6287    1668.8335
      99    1025.2014      58.5088      10.5895       4.5290       81.3115     501.1588     -12.0328    1669.2662
     100    1050.8757      52.3068      13.7945       2.8906       79.5890     484.4036     -10.9980    1672.8622
     101    1031.2111      55.6649      13.1493       4.1099       79.2772     494.1091     -11.4790    1666.0425
     102    1055.6020      59.6078       9.3551       3.2978       81.6460     466.9309     -11.2808    1665.1590
     103    1037.9161      54.4885      10.1217       3.6591       83.1173     486.3539     -13.5125    1662.1440
     104    1050.7286      54.6561      10.4964       3.3077       83.0048     478.3618     -13.9136    1666.6418
     105    1038.1132      56.2738      14.9376       2.5796       80.8163     487.2953      -8.6876    1671.3283
     106    1036.1132      52.9389      10.1958       4.1328       81.3436     494.0285     -11.2530    1667.4999
     107    1040.3053      53.4188      11.8705       3.9771       82.2906     487.2384     -10.7481    1668.3526
     108    1036.4965      57.6277      11.2887       2.8575       83.7965     494.3308     -11.6867    1674.7109
     109    1071.3142      52.9028       9.6358       3.3120       81.9988     456.8787     -11.5081    1664.5341
     110    1035.8620      60.9651      12.2660       3.2313       82.3883     488.7799     -11.6724    1671.8202
     111    1006.8027      61.0449       9.7830       2.9147       81.9451     514.6270     -12.2710    1664.8465
     112    1053.9808      64.9969      14.8125       2.4480       83.2863     466.4390     -11.4654    1674.4981
     113    1055.8436      56.2729       8.8256       2.5766       82.7629     474.5476     -13.3325    1667.4968
     114    1047.2856      58.0426      10.6310       1.9838       82.5595     482.2317     -12.5939    1670.1403
     115    1034.3018      58.8404      12.0937       3.5065       83.0430     488.5430     -11.1286    1669.1998
     116    1040.5728      60.5841       9.2538       4.6556       80.2241     486.5377     -10.9639    1670.8643
     117    1018.3056      61.4916       9.8896       3.3829       83.5718     503.3137     -11.1496    1668.8055
     118    1056.6862      50.2197      11.1804       3.7087       83.2448     471.2538     -11.7430    1664.5505
     119    1022.9244      57.6197       9.6796       3.7307       81.2912     507.2480     -11.2978    1671.1959
     120    1042.3528      57.0075      12.1926       2.8875       82.5646     481.2856     -10.0460    1668.2447
     121    1043.0631      54.3157      11.7981       2.1377       81.3953     483.9988      -9.4497    1667.2590
     122    1042.6542      48.5822      12.1645       2.7454       83.3134     487.7823     -12.7057    1664.5363
     123    1035.9275      60.4829      12.7217       2.2538       85.1951     481.8831     -12.4883    1665.9759
     124    1052.8447      55.9844      13.0385       3.4437       81.8998     476.7157     -12.7193    1671.2076
     125    1058.1037      56.6427      11.0793       2.7579       82.4703     473.3332     -12.0759    1672.3112
     126    1038.8026      53.6236      10.0155       4.2819       81.5266     489.2215     -10.9700    1666.5018
     127     995.5178      58.9462       9.8249       4.5725       82.8520     524.7664     -11.2829    1665.1968
     128    1030.4458      58.5307       8.8552       3.4612       80.4417     499.4762     -11.9142    1669.2967
     129    1007.9705      56.6745       9.4800       3.0078       80.0825     523.5517     -11.1067    1669.6602
     130    1053.5152      58.8964      11.5157       4.2914       81.7237     472.6656     -12.3414    1670.2667
     131    1025.6977      57.3624       7.9103       4.4105       82.2273     496.9836     -12.1051    1662.4867
     132    1015.6332      55.6795      10.9739       1.3364       83.0695     515.6891     -12.0143    1670.3673
     133    1027.1994      60.5800      11.2182       4.0373       79.8311     497.8539     -10.7842    1669.9358
