GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-4674.0388,-42894.3823,-9306.7794,222.00290136,-47568.4211,-9084.77649864,-56653.19759864
1,-4679.5105,-43292.0144,-8961.3966,223.84596384,-47971.524900000004,-8737.55063616,-56709.07553616
2,-4621.704,-43158.262,-9097.4476,228.70331496,-47779.966,-8868.74428504,-56648.71028504
3,-4625.5046,-43092.2959,-9108.2011,225.30786479999998,-47717.8005,-8882.893235200001,-56600.693735199995
4,-4686.8221,-43424.6274,-8717.3299,221.18990832,-48111.449499999995,-8496.13999168,-56607.58949168
5,-4678.524,-43317.9895,-8777.0822,220.81065911999997,-47996.5135,-8556.271540880001,-56552.78504088001
6,-4619.4666,-43350.586,-8865.7073,224.69044463999998,-47970.0526,-8641.01685536,-56611.069455360004
7,-4709.7403,-43172.004,-9001.9402,223.79753664,-47881.7443,-8778.142663359999,-56659.88696336
8,-4618.744,-43315.0977,-8884.5932,224.39868192,-47933.8417,-8660.19451808,-56594.03621807999
9,-4590.4902,-43372.3328,-8884.0218,228.19187592,-47962.823,-8655.82992408,-56618.65292408
10,-4652.1972,-43148.4852,-8859.1425,223.2428868,-47800.682400000005,-8635.8996132,-56436.58201320001
11,-4646.7913,-43198.1753,-8960.7155,223.19091864,-47844.9666,-8737.52458136,-56582.49118136
12,-4672.2254,-43280.7047,-8921.3674,226.09797408,-47952.930100000005,-8695.26942592,-56648.19952592
13,-4685.0091,-43586.5607,-8659.5232,220.67975016,-48271.569800000005,-8438.84344984,-56710.41324984001
14,-4715.0199,-43221.3071,-8961.2855,218.91468239999998,-47936.327,-8742.3708176,-56678.6978176
15,-4738.3211,-43171.273,-9032.4499,221.42317968,-47909.5941,-8811.02672032,-56720.62082032
16,-4690.9947,-43216.1033,-9053.2642,223.99153991999998,-47907.098000000005,-8829.27266008,-56736.37066008
17,-4668.7751,-43347.6287,-8921.1147,220.61790072,-48016.4038,-8700.49679928,-56716.90059928
18,-4685.4216,-43171.5971,-9013.9383,222.65023104,-47857.0187,-8791.28806896,-56648.30676896
19,-4683.0852,-43262.7003,-8921.8364,223.48912968000002,-47945.7855,-8698.34727032,-56644.13277032
20,-4682.4904,-43342.6981,-8936.3134,215.09743392,-48025.188500000004,-8721.215966079999,-56746.40446608001
21,-4645.085,-43060.217,-9190.7728,221.92708752000001,-47705.301999999996,-8968.84571248,-56674.14771247999
22,-4689.9807,-43331.8925,-8942.0996,218.56872672,-48021.8732,-8723.53087328,-56745.404073280006
23,-4683.4449,-43075.5473,-9161.8988,224.82958896,-47758.9922,-8937.069211040001,-56696.061411040006
24,-4647.6634,-43434.587,-8901.0247,222.30904536,-48082.2504,-8678.71565464,-56760.96605464
25,-4663.8334,-42831.2962,-9354.2204,223.74875808000002,-47495.1296,-9130.47164192,-56625.60124192
26,-4661.0126,-43134.7028,-9088.9321,221.88980304,-47795.7154,-8867.04229696,-56662.75769696
27,-4694.0543,-42963.9831,-9261.4528,223.92679536,-47658.0374,-9037.52600464,-56695.56340464
28,-4648.7044,-42927.5287,-9351.2439,225.23982048000002,-47576.233100000005,-9126.00407952,-56702.23717952001
29,-4666.782,-43228.6316,-9018.1157,224.03978064,-47895.4136,-8794.07591936,-56689.48951936
30,-4641.162,-43175.1926,-9081.0858,221.61164472000002,-47816.354600000006,-8859.47415528,-56675.82875528001
31,-4718.4872,-42992.3618,-9257.9296,226.5767892,-47710.849,-9031.3528108,-56742.201810800005
32,-4632.6949,-43057.0418,-9319.6697,229.81369895999998,-47689.7367,-9089.85600104,-56779.59270104
33,-4680.861,-43143.308,-9145.1241,228.61423943999998,-47824.168999999994,-8916.509860560001,-56740.678860559994
34,-4704.2817,-42829.9063,-9366.1121,224.70814943999997,-47534.188,-9141.40395056,-56675.59195056
35,-4681.9438,-43170.5673,-9084.129,225.06355152,-47852.5111,-8859.065448480002,-56711.57654848001
36,-4736.3941,-43195.7789,-9076.6447,220.66169688,-47932.172999999995,-8855.98300312,-56788.15600312
37,-4730.0762,-43230.81,-8955.1867,218.11540104,-47960.8862,-8737.07129896,-56697.95749896
38,-4679.1652,-43492.4047,-8690.8086,215.95614264,-48171.5699,-8474.85245736,-56646.42235736
39,-4684.0844,-43252.3619,-9006.7093,219.08923416,-47936.4463,-8787.620065840001,-56724.06636584001
40,-4695.5401,-43114.1403,-9022.26,221.80860072000002,-47809.6804,-8800.45139928,-56610.131799279996
41,-4726.5586,-43176.5575,-8978.5151,216.43148304,-47903.1161,-8762.08361696,-56665.19971696
42,-4713.8288,-43287.465,-8976.0408,222.15982968,-48001.2938,-8753.88097032,-56755.17477032
43,-4697.5429,-43040.9101,-9204.6367,223.9947612,-47738.453,-8980.6419388,-56719.09493879999
44,-4698.4925,-43196.6829,-9002.4224,221.55413184,-47895.1754,-8780.86826816,-56676.043668160004
45,-4699.5806,-42967.2522,-9176.3639,224.51104152,-47666.832800000004,-8951.85285848,-56618.68565848
46,-4727.61,-42842.496,-9169.1877,218.20527144,-47570.106,-8950.98242856,-56521.088428560004
47,-4675.116,-43071.1559,-9191.5081,223.42931424,-47746.2719,-8968.078785759999,-56714.35068576
48,-4685.7094,-43420.4845,-8804.0046,220.85831808,-48106.1939,-8583.14628192,-56689.34018192
49,-4690.2645,-43341.4447,-8934.4723,219.66494184,-48031.7092,-8714.80735816,-56746.51655816
50,-4689.0719,-43086.8567,-9143.9376,225.20578175999998,-47775.9286,-8918.73181824,-56694.66041824
51,-4686.6674,-43098.0819,-9172.8977,222.13361663999999,-47784.749299999996,-8950.76408336,-56735.51338336
52,-4751.0283,-43200.7892,-8905.502,220.19412096,-47951.8175,-8685.30787904,-56637.12537904
53,-4697.581,-43107.0546,-9106.0354,224.44806096,-47804.6356,-8881.587339040001,-56686.22293904
54,-4679.6279,-42943.6303,-9243.2791,224.075736,-47623.2582,-9019.203363999999,-56642.461564
55,-4672.0215,-43365.0748,-8948.6492,225.00627336,-48037.096300000005,-8723.64292664,-56760.739226640006
56,-4687.4713,-43565.0615,-8762.6927,219.82453271999998,-48252.5328,-8542.86816728,-56795.40096728
57,-4701.1637,-43485.7491,-8739.0913,219.52460808,-48186.9128,-8519.56669192,-56706.47949192
58,-4650.3683,-43129.5732,-9114.8543,224.96887800000002,-47779.9415,-8889.885422000001,-56669.826922
59,-4698.3233,-43260.7283,-8908.3558,220.09406472,-47959.051600000006,-8688.261735279999,-56647.31333528001
60,-4685.0253,-43362.4351,-8881.2708,221.397876,-48047.4604,-8659.872924,-56707.333324
61,-4668.3988,-43391.0324,-8868.7308,221.05898568,-48059.4312,-8647.67181432,-56707.10301432
62,-4672.4134,-43193.8128,-9086.151,224.64951624,-47866.2262,-8861.50148376,-56727.72768375999
63,-4639.2514,-43421.7867,-8877.3036,219.79398239999998,-48061.0381,-8657.509617599999,-56718.5477176
64,-4629.6354,-43347.11,-8922.5404,223.67568168,-47976.7454,-8698.86471832,-56675.61011832
65,-4681.7747,-43203.4169,-9118.8528,222.65668512,-47885.1916,-8896.19611488,-56781.38771488
66,-4698.4283,-43027.2224,-9067.697,221.24174616,-47725.6507,-8846.45525384,-56572.10595384
67,-4667.5162,-42982.4068,-9192.8241,224.99485416,-47649.922999999995,-8967.82924584,-56617.75224583999
68,-4660.5842,-43428.0515,-8842.5374,222.8638752,-48088.6357,-8619.673524799999,-56708.3092248
69,-4705.8392,-43209.0966,-9046.6608,223.75447703999998,-47914.9358,-8822.90632296,-56737.84212296
70,-4642.4325,-43480.5746,-8813.2006,222.89185656,-48123.0071,-8590.30874344,-56713.315843439996
71,-4639.6344,-43257.322,-9111.2608,226.5170508,-47896.9564,-8884.7437492,-56781.7001492
72,-4683.7158,-42802.754,-9372.1784,224.31606047999998,-47486.4698,-9147.862339520001,-56634.33213952
73,-4674.6117,-43205.1392,-9018.883,221.9595732,-47879.7509,-8796.9234268,-56676.6743268
74,-4668.9272,-43004.0617,-9206.5857,224.19136224,-47672.9889,-8982.394337759999,-56655.38323775999
75,-4694.5428,-43090.5304,-9114.6507,220.21528032,-47785.073200000006,-8894.43541968,-56679.508619680004
76,-4685.3275,-43154.3609,-9099.8937,222.08093639999998,-47839.6884,-8877.8127636,-56717.5011636
77,-4685.2932,-43150.8876,-9096.1815,221.77954368,-47836.1808,-8874.40195632,-56710.58275632
78,-4674.2071,-42983.5403,-9192.8518,226.06898184,-47657.7474,-8966.78281816,-56624.53021816
79,-4680.1365,-42894.8594,-9324.1056,223.61399064,-47574.9959,-9100.49160936,-56675.487509360006
80,-4656.2561,-42816.9133,-9424.4891,226.08266903999998,-47473.1694,-9198.40643096,-56671.57583096
81,-4685.3132,-42836.2492,-9385.1537,223.29114407999998,-47521.562399999995,-9161.86255592,-56683.424955919996
82,-4697.4787,-43022.0199,-9229.1367,225.06575688,-47719.4986,-9004.07094312,-56723.56954311999
83,-4647.417,-42850.9925,-9332.5986,227.87302176,-47498.4095,-9104.725578239999,-56603.13507824
84,-4668.6972,-43093.2798,-9143.8307,223.51904423999997,-47761.977,-8920.31165576,-56682.28865576
85,-4700.5996,-42989.2762,-9061.2823,222.11434296,-47689.8758,-8839.167957040001,-56529.04375704
86,-4675.5213,-43376.2348,-8790.9164,218.52979344,-48051.7561,-8572.38660656,-56624.14270656
87,-4714.7832,-43143.4562,-8943.6538,220.44585456000001,-47858.2394,-8723.207945440001,-56581.44734544
88,-4626.3294,-43311.2588,-8887.1731,224.43422904,-47937.588200000006,-8662.73887096,-56600.327070960004
89,-4675.7059,-43421.7607,-8697.2408,217.8671364,-48097.4666,-8479.3736636,-56576.8402636
90,-4624.032,-43218.1561,-8972.2633,221.79753216,-47842.1881,-8750.46576784,-56592.653867839996
91,-4616.5692,-43620.0451,-8603.0679,223.86453192,-48236.6143,-8379.20336808,-56615.81766808
92,-4658.2944,-43337.9349,-8878.2276,220.4180892,-47996.2293,-8657.8095108,-56654.0388108
93,-4700.7205,-43164.4132,-8921.2236,219.68085744,-47865.133700000006,-8701.54274256,-56566.676442560005
94,-4684.446,-43020.7914,-8983.1103,224.11026576,-47705.2374,-8759.00003424,-56464.23743424
95,-4646.0588,-43304.3508,-8865.4396,218.93569992,-47950.4096,-8646.503900079999,-56596.913500079994
96,-4670.1587,-43151.811,-9017.3645,222.62263271999998,-47821.9697,-8794.74186728,-56616.71156728
97,-4649.7318,-42859.3982,-9191.1289,225.36657432,-47509.130000000005,-8965.76232568,-56474.89232568
98,-4711.1529,-43098.0808,-9002.9048,221.01352703999999,-47809.233700000004,-8781.89127296,-56591.12497296
99,-4703.0565,-43063.2286,-9042.413,224.71051967999998,-47766.2851,-8817.70248032,-56583.987580320005
100,-4674.9608,-43293.3802,-8871.1281,218.45035656,-47968.341,-8652.67774344,-56621.01874344
101,-4679.5752,-43328.7086,-8792.3332,219.58643088,-48008.2838,-8572.74676912,-56581.03056912
102,-4685.326,-43008.323,-9083.1929,222.02049816,-47693.649,-8861.17240184,-56554.82140184
103,-4708.4741,-43248.255,-8916.9897,216.95925671999998,-47956.7291,-8700.03044328,-56656.75954327999
104,-4731.0684,-43272.1262,-8869.4297,218.90355768,-48003.1946,-8650.52614232,-56653.72074232
105,-4643.1004,-43127.7434,-9055.0952,222.71463359999998,-47770.8438,-8832.3805664,-56603.2243664
106,-4637.7218,-43298.8904,-8914.4527,221.74470648,-47936.612199999996,-8692.70799352,-56629.32019352
107,-4646.4215,-43288.2097,-8897.3188,221.3496792,-47934.6312,-8675.969120799999,-56610.600320800004
108,-4697.6857,-43038.5925,-9182.3111,223.14451176,-47736.2782,-8959.166588240001,-56695.44478824
109,-4669.4589,-43462.8446,-8843.0824,219.94150968,-48132.303499999995,-8623.140890319999,-56755.44439031999
110,-4726.9444,-43372.4126,-8849.8833,221.47572456,-48099.357,-8628.40757544,-56727.76457544001
111,-4794.8515,-43027.6512,-9150.3199,216.74612592,-47822.5027,-8933.57377408,-56756.07647408
